tconst,title,release_year,adjusted_budget,adjusted_domestic_gross,director_gender,genres,has_oscar_cast,star_power,production_companies,production_countries,spoken_languages
tt0065134,two mules for sister sara,1970,20257731.958762884,40920618.55670103,0,"Adventure,Drama,Romance",0,64141849.38095237,"Sanen Productions, Malpaso Productions, Universal Pictures, Martin Rackin Productions","Mexico, United States of America","English, Spanish, Italian, Latin, French"
tt0067454,multiple maniacs,1970,40515.46391752577,267693.7731958763,0,"Comedy,Crime,Horror",0,16786236.666666664,Dreamland Studios,United States of America,English
tt0066580,woodstock,1970,4861855.670103093,279598107.83505154,0,"Documentary,History,Music",0,0.0,"Wadleigh-Maurice, Warner Bros. Pictures",United States of America,English
tt0066473,tora tora tora,1970,206507319.58762887,239432543.5670103,0,"Action,Drama,History",1,123705056.87777777,20th Century Fox,"Japan, United States of America","English, Japanese"
tt0066206,patton,1970,97237113.40206183,506443298.96907216,0,"Biography,Drama,War",1,55821573.97142857,20th Century Fox,United States of America,"Arabic, English, French, German, Italian, Russian"
tt0066115,myra breckinridge,1970,40515463.91752577,24309278.350515462,0,Comedy,0,176343957.48214287,20th Century Fox,United States of America,English
tt0066090,the molly maguires,1970,89134020.6185567,17826804.12371134,0,"Drama,History",0,297584362.7,Tamm Productions,United States of America,English
tt0066011,love story,1970,17826804.12371134,862146270.0618557,0,"Drama,Romance",1,265514870.99102563,"Paramount, Love Story Company",United States of America,English
tt0066026,mash,1970,28360824.74226804,661212371.1340206,0,"Comedy,Drama,War",0,276570302.15485144,"Aspen Productions (I), Ingo Preminger Productions, 20th Century Fox",United States of America,"English, Japanese, Korean"
tt0065938,kellys heroes,1970,32412371.13402061,42136082.4742268,0,"Adventure,Comedy,War",0,346162154.832483,"Katzka-Loeb, Avala Film, Metro-Goldwyn-Mayer",United States of America,"English, French, German"
tt0065916,joe,1970,858927.8350515463,156545707.67010307,0,"Drama,Thriller",0,101293490.73848239,Cannon Group,United States of America,"English, German"
tt0065528,catch,1970,145855670.1030928,201861573.40206185,0,"Comedy,Drama,War",1,222412371.1948646,"Paramount, Filmways Productions",United States of America,"English, Italian"
tt0065466,beyond the valley of the dolls,1970,16935463.917525772,72927835.0515464,0,"Comedy,Drama,Music",0,43515120.0,20th Century Fox,United States of America,English
tt0065446,the ballad of cable hogue,1970,30118758.30927835,28360824.74226804,0,"Comedy,Drama,Romance",0,211660727.1888889,Warner Bros. Pictures,United States of America,English
tt0065421,the aristocats,1970,32412371.13402061,478082474.2268041,0,"Adventure,Animation,Comedy",0,325247934.1666667,Walt Disney Productions,United States of America,English
tt0065988,little big man,1970,121546391.75257732,255729978.06185564,0,"Adventure,Comedy,Drama",1,180087604.73418802,"Cinema Center Films, Stockbridge-Hiller Productions",United States of America,English
tt0067309,klute,1971,19407407.407407407,97135137.6,0,"Crime,Mystery,Thriller",0,158823472.58843538,"Gus Productions, Warner Bros. Pictures",United States of America,English
tt0067992,willy wonka the chocolate factory,1971,23288888.888888888,31051851.85185185,0,"Adventure,Comedy,Family",1,106270684.71212122,David L. Wolper Productions,United States of America,"French, English, Italian, German"
tt0067588,play misty for me,1971,5628148.148148148,82287407.4074074,0,"Drama,Thriller",0,93780477.59999998,"Universal Pictures, Malpaso Productions",United States of America,English
tt0067093,fiddler on the roof,1971,69866666.66666666,624918518.5185184,0,"Drama,Family,Musical",0,106442733.5,"United Artists, Cartier Productions, The Mirisch Company",United States of America,"Hebrew, Russian, English"
tt0067065,escape from the planet of the apes,1971,19407407.407407407,95484444.44444443,0,"Action,Sci-Fi",1,478889046.5,"APJAC Productions, 20th Century Fox",United States of America,English
tt0066921,a clockwork orange,1971,17078518.51851852,206412178.0740741,0,"Crime,Sci-Fi",0,192615391.91666666,"Warner Bros. Pictures, Hawk Films","United Kingdom, United States of America",English
tt0066830,the big doll house,1971,970370.3703703705,77629629.62962963,0,"Action,Drama,Thriller",0,30210712.18218624,New World Pictures,"United States of America, Philippines",English
tt0066817,bedknobs and broomsticks,1971,155259259.25925925,138733261.86666667,0,"Adventure,Animation,Comedy",0,193612745.0,Walt Disney Productions,United States of America,English
tt0066769,the andromeda strain,1971,50459259.25925925,96078800.17777777,0,"Mystery,Sci-Fi,Thriller",0,116154056.33333333,Universal Pictures,United States of America,English
tt0069495,whats up doc,1972,30086124.401913878,429800896.076555,0,"Comedy,Romance",1,336309159.0668831,"Saticoy Productions, Warner Bros. Pictures",United States of America,English
tt0068833,the last house on the left,1972,676937.7990430621,23316746.41148325,0,"Crime,Horror,Thriller",0,0.0,"Lobster Enterprises, Sean S. Cunningham Films, The Night Co.",United States of America,English
tt0068611,frenzy,1972,26325358.85167464,94771291.86602873,0,Thriller,0,28175867.0,"Universal Pictures, Alfred J. Hitchcock Productions",United Kingdom,"English, French, Italian"
tt0068638,the getaway,1972,25214082.71770335,276300579.27272725,0,"Action,Crime,Thriller",1,168404503.26666665,"Foster-Brower Productions, First Artists, Solar Productions",United States of America,"English, Spanish"
tt0068408,conquest of the planet of the apes,1972,12786602.870813396,72958851.67464115,0,"Action,Sci-Fi",0,218364292.0,"APJAC Productions, 20th Century Fox",United States of America,English
tt0068327,cabaret,1972,45129186.602870815,310838148.861244,0,"Drama,Music,Musical",0,101524496.36666667,"Allied Artists Pictures, ABC Pictures",United States of America,"English, Hebrew, German, French"
tt0068473,deliverance,1972,15043062.200956937,346910727.5598086,0,"Adventure,Drama,Thriller",0,209519820.78664523,"Warner Bros. Pictures, Elmer Enterprises",United States of America,English
tt0070666,serpico,1973,21243243.243243244,193130467.5675676,0,"Biography,Crime,Drama",0,180490749.04333332,"De Laurentiis Entertainment Group, Artists Entertainment Complex, Produzioni De Laurentiis - International Manufacturing Company, Paramount","Italy, United States of America","English, Spanish, Italian"
tt0070917,the wicker man,1973,5735675.675675675,1460416.3243243245,0,"Horror,Mystery,Thriller",0,109510131.375,"British Lion Films, Warner Bros. Pictures",United Kingdom,English
tt0070909,westworld,1973,8497297.297297297,21243243.243243244,0,"Action,Drama,Sci-Fi",1,310789148.5416667,Metro-Goldwyn-Mayer,United States of America,English
