franchise,franchise_transform,franchise_url
Marvel Cinematic Universe,Marvel-Cinematic-Universe,https://www.the-numbers.com/movies/franchise/Marvel-Cinematic-Universe#tab=summary
Star Wars,Star-Wars,https://www.the-numbers.com/movies/franchise/Star-Wars#tab=summary
James Bond,James-Bond,https://www.the-numbers.com/movies/franchise/James-Bond#tab=summary
Batman,Batman,https://www.the-numbers.com/movies/franchise/Batman#tab=summary
Spider-Man,Spider-Man,https://www.the-numbers.com/movies/franchise/Spider-Man#tab=summary
Harry Potter,Harry-Potter,https://www.the-numbers.com/movies/franchise/Harry-Potter#tab=summary
X-Men,X-Men,https://www.the-numbers.com/movies/franchise/X-Men#tab=summary
Jurassic Park,Jurassic-Park,https://www.the-numbers.com/movies/franchise/Jurassic-Park#tab=summary
DC Extended Universe,DC-Extended-Universe,https://www.the-numbers.com/movies/franchise/DC-Extended-Universe#tab=summary
Avengers,Avengers,https://www.the-numbers.com/movies/franchise/Avengers#tab=summary
Bambi,Bambi,https://www.the-numbers.com/movies/franchise/Bambi#tab=summary
Star Trek,Star-Trek,https://www.the-numbers.com/movies/franchise/Star-Trek#tab=summary
Peter Jacksons Lord of the Rings,Peter-Jacksons-Lord-of-the-Rings,https://www.the-numbers.com/movies/franchise/Peter-Jacksons-Lord-of-the-Rings#tab=summary
Fast and the Furious,Fast-and-the-Furious,https://www.the-numbers.com/movies/franchise/Fast-and-the-Furious#tab=summary
Indiana Jones,Indiana-Jones,https://www.the-numbers.com/movies/franchise/Indiana-Jones#tab=summary
Shrek,Shrek,https://www.the-numbers.com/movies/franchise/Shrek#tab=summary
Rocky,Rocky,https://www.the-numbers.com/movies/franchise/Rocky#tab=summary
Superman,Superman,https://www.the-numbers.com/movies/franchise/Superman#tab=summary
Transformers,Transformers,https://www.the-numbers.com/movies/franchise/Transformers#tab=summary
Despicable Me,Despicable-Me,https://www.the-numbers.com/movies/franchise/Despicable-Me#tab=summary
Pirates of the Caribbean,Pirates-of-the-Caribbean,https://www.the-numbers.com/movies/franchise/Pirates-of-the-Caribbean#tab=summary
Toy Story,Toy-Story,https://www.the-numbers.com/movies/franchise/Toy-Story#tab=summary
101 Dalmatians,101-Dalmatians,https://www.the-numbers.com/movies/franchise/101-Dalmatians#tab=summary
Hunger Games,Hunger-Games,https://www.the-numbers.com/movies/franchise/Hunger-Games#tab=summary
Jaws,Jaws,https://www.the-numbers.com/movies/franchise/Jaws#tab=summary
Mission Impossible,Mission-Impossible,https://www.the-numbers.com/movies/franchise/Mission-Impossible#tab=summary
Twilight,Twilight,https://www.the-numbers.com/movies/franchise/Twilight#tab=summary
Lion King The,Lion-King-The,https://www.the-numbers.com/movies/franchise/Lion-King-The#tab=summary
Planet of the Apes,Planet-of-the-Apes,https://www.the-numbers.com/movies/franchise/Planet-of-the-Apes#tab=summary
Avatar,Avatar,https://www.the-numbers.com/movies/franchise/Avatar#tab=summary
Dark Knight Trilogy,Dark-Knight-Trilogy,https://www.the-numbers.com/movies/franchise/Dark-Knight-Trilogy#tab=summary
Peter Pan,Peter-Pan,https://www.the-numbers.com/movies/franchise/Peter-Pan#tab=summary
King Kong,King-Kong,https://www.the-numbers.com/movies/franchise/King-Kong#tab=summary
Exorcist,Exorcist,https://www.the-numbers.com/movies/franchise/Exorcist#tab=summary
Lady and the Tramp,Lady-and-the-Tramp,https://www.the-numbers.com/movies/franchise/Lady-and-the-Tramp#tab=summary
Billy Jack,Billy-Jack,https://www.the-numbers.com/movies/franchise/Billy-Jack#tab=summary
Deadpool,Deadpool,https://www.the-numbers.com/movies/franchise/Deadpool#tab=summary
Ghostbusters,Ghostbusters,https://www.the-numbers.com/movies/franchise/Ghostbusters#tab=summary
Iron Man,Iron-Man,https://www.the-numbers.com/movies/franchise/Iron-Man#tab=summary
Wizard of Oz,Wizard-of-Oz,https://www.the-numbers.com/movies/franchise/Wizard-of-Oz#tab=summary
Mary Poppins,Mary-Poppins,https://www.the-numbers.com/movies/franchise/Mary-Poppins#tab=summary
Sonys Marvel Universe,Sonys-Marvel-Universe,https://www.the-numbers.com/movies/franchise/Sonys-Marvel-Universe#tab=summary
Godfather,Godfather,https://www.the-numbers.com/movies/franchise/Godfather#tab=summary
Wolverine,Wolverine,https://www.the-numbers.com/movies/franchise/Wolverine#tab=summary
Alien,Alien,https://www.the-numbers.com/movies/franchise/Alien#tab=summary
