Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0073198,2019-02-26,2019-02-26,,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles","Jeanne Dielman, 23 quai du Commerce, 1080 Bruxelles",https://www.imdb.com/title/tt0073198/,Movie,7.5,202,1975,"Drama",15316,1976-01-21,"Chantal Akerman"
2,tt0209933,2019-02-26,2019-02-26,,"Beau Travail","Beau travail",https://www.imdb.com/title/tt0209933/,Movie,7.3,92,1999,"Drama, War",16142,2000-05-03,"Claire Denis"
3,tt0107822,2019-02-26,2019-02-26,,"The Piano","The Piano",https://www.imdb.com/title/tt0107822/,Movie,7.5,121,1993,"Drama, Music, Romance",97285,1994-02-11,"Jane Campion"
4,tt0104694,2019-02-26,2019-02-26,,"A League of Their Own","A League of Their Own",https://www.imdb.com/title/tt0104694/,Movie,7.3,128,1992,"Comedy, Drama, Sport",124217,1992-07-01,"Penny Marshall"
5,tt0060959,2019-02-26,2019-02-26,,"Daisies","Sedmikrásky",https://www.imdb.com/title/tt0060959/,Movie,7.2,75,1966,"Comedy",16185,1966-12-30,"Vera Chytilová"
6,tt4925292,2019-02-26,2019-02-26,,"Lady Bird","Lady Bird",https://www.imdb.com/title/tt4925292/,Movie,7.4,94,2017,"Comedy, Drama",345814,2017-12-01,"Greta Gerwig"
7,tt0055852,2019-02-26,2019-02-26,,"Cléo from 5 to 7","Cléo de 5 à 7",https://www.imdb.com/title/tt0055852/,Movie,7.8,90,1962,"Comedy, Drama, Music",28776,1962-04-11,"Agnès Varda"
8,tt0036154,2019-02-26,2019-02-26,,"Meshes of the Afternoon","Meshes of the Afternoon",https://www.imdb.com/title/tt0036154/,Short,7.8,14,1943,"Short, Fantasy, Mystery",15722,1943,"Maya Deren, Alexander Hammid"
9,tt0075040,2019-02-26,2019-02-26,,"Seven Beauties","Pasqualino Settebellezze",https://www.imdb.com/title/tt0075040/,Movie,7.7,116,1975,"Comedy, Drama, War",6685,1976-01-21,"Lina Wertmüller"
10,tt0104057,2019-02-26,2019-02-26,,"Daughters of the Dust","Daughters of the Dust",https://www.imdb.com/title/tt0104057/,Movie,6.6,113,1991,"Drama, History, Romance",3484,1991-12-27,"Julie Dash"
11,tt6217608,2019-02-26,2019-02-26,,"The Rider","The Rider",https://www.imdb.com/title/tt6217608/,Movie,7.4,104,2017,"Drama, Western",21091,2018-04-13,"Chloé Zhao"
12,tt1399683,2019-02-26,2019-02-26,,"Winter's Bone","Winter's Bone",https://www.imdb.com/title/tt1399683/,Movie,7.1,100,2010,"Crime, Drama, Mystery, Thriller",153195,2010-07-16,"Debra Granik"
13,tt0112697,2019-02-26,2019-02-26,,"Clueless","Clueless",https://www.imdb.com/title/tt0112697/,Movie,6.9,97,1995,"Comedy, Romance",257776,1995-07-19,"Amy Heckerling"
