Position,Const,Created,Modified,Description,Name,Known For,Birth Date
1,nm0418450,2011-05-13,2011-05-13,,"Agnès Jaoui","Le goût des autres","October 19, 1964"
2,nm0889513,2011-05-13,2011-05-13,"female presence in French Nouvelle Vague","Agnès Varda","Cléo de 5 à 7","May 30, 1928"
3,nm0002140,2011-05-13,2011-05-13,,"Agnieszka Holland","Pokot","November 28, 1948"
4,nm0349785,2011-05-13,2011-05-13,"First female diretor ever","Alice Guy","The Woman of Mystery","July 1, 1873"
5,nm0139036,2011-05-13,2011-05-13,,"Ana Carolina","Mar de Rosas","September 27, 1943"
6,nm0036349,2011-10-07,2011-10-07,,"Andrea Arnold","American Honey","April 5, 1961"
7,nm0594746,2011-05-13,2011-05-13,,"Anne-Marie Miéville","Lou n'a pas dit non","November 11, 1945"
8,nm1389025,2011-08-24,2011-08-24,,"Byambasuren Davaa","Die Höhle des gelben Hundes","1971"
9,nm0106924,2011-05-13,2011-05-13,,"Catherine Breillat","À ma soeur !","July 13, 1948"
10,nm0001901,2011-05-13,2011-05-13,,"Chantal Akerman","Je tu il elle","June 6, 1950"
11,nm0219136,2011-05-13,2011-05-13,,"Claire Denis","High Life","April 21, 1946"
12,nm2013191,2011-05-13,2011-05-13,,"Claudia Llosa","La teta asustada","November 15, 1976"
13,nm0401247,2011-05-13,2011-05-13,,"Danièle Huillet","Klassenverhältnisse","May 1, 1936"
14,nm0576548,2011-05-13,2011-05-13,,"Deepa Mehta","Fire","September 15, 1950"
15,nm0444328,2011-05-13,2011-05-13,,"Dorota Kedzierzawska","Nic","June 1, 1957"
16,nm0002188,2011-05-13,2011-05-13,"the only US female director in the 1930s","Dorothy Arzner","Christopher Strong","January 3, 1897"
17,nm0241273,2011-05-13,2011-05-13,"female presence in French Impressionism from 1920s","Germaine Dulac","Âme d'artiste","November 17, 1882"
18,nm0526946,2011-05-13,2011-05-13,,"Ida Lupino","High Sierra","February 4, 1918"
19,nm0170043,2011-05-13,2011-05-13,,"Isabel Coixet","My Life Without Me","April 9, 1960"
20,nm1120092,2011-08-24,2011-08-24,,"Jasmila Zbanic","Quo Vadis, Aida?","December 19, 1974"
21,nm0000941,2011-05-13,2011-05-13,,"Kathryn Bigelow","The Hurt Locker","November 27, 1951"
22,nm0716980,2016-09-21,2016-09-21,,"Kelly Reichardt","Wendy and Lucy","March 3, 1964"
23,nm0613645,2011-05-13,2011-05-13,,"Kira Muratova","Nastroyshchik","November 5, 1934"
24,nm0791899,2011-05-13,2011-05-13,,"Larisa Shepitko","Voskhozhdenie","January 6, 1938"
25,nm0528012,2016-09-21,2016-09-21,,"Len Lye","Crusade in Europe","July 5, 1901"
26,nm0726166,2011-05-13,2011-05-13,,"Leni Riefenstahl","Das blaue Licht - Eine Berglegende aus den Dolomiten","August 22, 1902"
27,nm0146960,2011-05-13,2011-05-13,,"Liliana Cavani","L'ospite","January 12, 1933"
28,nm0921631,2011-05-13,2011-05-13,,"Lina Wertmüller","Pasqualino Settebellezze","August 14, 1928"
29,nm0880521,2011-05-13,2011-05-13,,"Liv Ullmann","Viskningar och rop","December 16, 1938"
30,nm0771054,2011-05-13,2011-05-13,,"Lone Scherfig","An Education","May 2"
31,nm0718201,2011-08-22,2011-08-22,,"Lotte Reiniger","Silhouetten","June 2, 1899"
32,nm0699932,2011-05-13,2011-05-13,,"Lucía Puenzo","XXY","November 28, 1976"
33,nm0551506,2011-05-13,2011-05-13,,"Lucrecia Martel","La mujer sin cabeza","December 14, 1966"
34,nm0708903,2016-09-21,2016-09-21,,"Lynne Ramsay","You Were Never Really Here","December 5, 1969"
35,nm0903137,2011-05-13,2011-05-13,,"Margarethe von Trotta","Hannah Arendt","February 21, 1942"
36,nm0243921,2011-05-13,2011-05-13,,"Marguerite Duras","Le camion","April 4, 1914"
37,nm0579682,2016-09-21,2016-09-21,,"Marie Menken","The Life of Juanita Castro","May 25, 1909"
38,nm0331296,2011-05-13,2011-05-13,,"Marleen Gorris","Antonia","December 9, 1948"
39,nm0617767,2011-05-13,2011-05-13,,"Márta Mészáros","Örökbefogadás","September 19, 1931"
40,nm0220305,2011-05-13,2011-05-13,,"Maya Deren","Meshes of the Afternoon","April 29, 1917"
41,nm0619762,2011-05-13,2011-05-13,,"Mira Nair","Monsoon Wedding","October 15, 1957"
42,nm0432380,2011-05-13,2011-05-13,,"Miranda July","Me and You and Everyone We Know","February 15, 1974"
43,nm0467035,2011-10-07,2011-10-07,,"Nadezhda Kosheverova","Vesna v Moskve","September 23, 1902"
44,nm0442905,2011-05-13,2011-05-13,,"Naomi Kawase","An","May 30, 1969"
45,nm0006845,2011-05-13,2011-05-13,,"Sally Potter","The Tango Lesson","September 19, 1949"
46,nm0538533,2011-05-13,2016-09-21,,"Samira Makhmalbaf","Panj é asr","February 15, 1980"
47,nm0001068,2011-05-13,2011-05-13,,"Sofia Coppola","The Godfather Part III","May 14, 1971"
48,nm0295453,2011-10-07,2011-10-07,,"Su Friedrich","Hide and Seek",
49,nm0081540,2011-05-13,2011-05-13,,"Susanne Bier","Hævnen","April 15, 1960"
50,nm0161615,2011-05-13,2011-05-13,,"Vera Chytilová","O necem jiném","February 2, 1929"
