title,director_name,release_year
The Kids are All Right,Lisa Cholodenko,2010
The Souvenir,Joanna Hogg,2019
Somewhere,Sofia Coppola,2010
Adoption,Márta Mészáros,1975
The Meetings of Anna,Chantal Akerman,1977
Ritual in Transfigured Time,Maya Deren,1946
News From Home,Chantal Akerman,1977
Red Road,Andrea Arnold,2006
Raw,Julia Ducournau,2016
White Material,Claire Denis,2009
Fast Times at Ridgemont High,Amy Heckerling,1982
The Beaches of Agnes,Agnès Varda,2008
The Silences of the Palace,Moufida Tlatli,1994
35 Shots of Rum,Claire Denis,2008
Wadjda,Haifaa Al-Mansour,2012
"One Sings, The Other Doesn’t",Agnès Varda,1977
Portrait of Jason,Shirley Clarke,1967
Sleepless in Seattle,Nora Ephron,1993
At Land,Maya Deren,1944
A Girl Walks Home Alone at Night,Ana Lily Amirpour,2014
Big,Penny Marshall,1988
Shoes,Lois Weber,1916
The Apple,Samira Makhmalbaf,1998
Tomboy,Céline Sciamma,2011
Girlhood,Céline Sciamma,2014
Meek’s Cutoff,Kelly Reichardt,2010
Chocolat,Claire Denis,1988
On Body and Soul,Ildikó Enyedi,2017
Europa Europa,Agnieszka Holland,1980
The Seashell and the Clergyman,Germaine Dulac,1928
Whale Rider,Niki Caro,2002
The Connection,Shirley Clarke,1961
Eve’s Bayou,Kasi Lemmons,1997
The German Sisters,Margarethe von Trotta,1981
Ratcatcher,Lynne Ramsay,1999
Leave no Trace,Debra Granik,2018
The Rider,Chloe Zhao,2017
Marie Antoinette,Sofia Coppola,2006
Strange Days,Kathryn Bigelow,1995
India Song,Marguerite Duras,1975
A League of their Own,Penny Marshall,1992
The Long Farewell,Kira Muratova,1971
Desperately Seeking Susan,Susan Seidelman,1985
The Babadook,Jennifer Kent,2014
13th,Ava DuVernay,2016
Monster,Patty Jenkins,2003
Bright Star,Jane Campion,2009
The Headless Woman,Lucrecia Martel,2008
Happy as Lazzaro,Alice Rohrwacher,2018
"Harlan County, USA",Barbara Kopple,1976
Outrage,Ida Lupino,1950
Salaam Bombay!,Mira Nair,1988
The Asthenic Syndrome,Kira Muratova,1989
An Angel at my Table,Jane Campion,1990
Near Dark,Kathryn Bigelow,1987
Triumph of the Will,Leni Riefenstahl,1935
American Honey,Andrea Arnold,2016
The Virgin Suicides,Sofia Coppola,1999
The Adventures of Prince Achmed,Lotte Reiniger,1926
Capernaum,Nadine Labaki,2018
Boys Don’t Cry,Kimberly Peirce,1999
Portrait of a Lady on Fire,Céline Sciamma,2019
Paris is Burning,Jennie Livingston,1990
Olympia,Leni Riefenstahl,1938
Wendy and Lucy,Kelly Reichardt,2008
The Matrix,Lana and Lilly Wachowski,1999
Morvern Callar,Lynne Ramsay,2002
You Were Never Really Here,Lynne Ramsay,2017
The Night Porter,Liliana Cavani,1974
The Gleaners and I,Agnès Varda,2000
Zama,Lucrecia Martel,2017
Monsoon Wedding,Mira Nair,2001
Le Bonheur,Agnès Varda,1965
Selma,Ava DuVernay,2014
Stories we Tell,Sarah Polley,2012
The House is Black,Forugh Farrokhzad,1963
Lady Bird,Greta Gerwig,2017
The Hitch-Hiker,Ida Lupino,1953
We Need to Talk About Kevin,Lynne Ramsay,2011
Winter’s Bone,Debra Granik,2010
Clueless,Amy Heckerling,1995
Orlando,Sally Potter,1992
American Psycho,Mary Harron,2000
Seven Beauties,Lina Wertmüller,1975
Wanda,Barbara Loden,1970
The Swamp,Lucrecia Martel,2001
Point Break,Kathryn Bigelow,1991
Vagabond,Agnès Varda,1985
Zero Dark Thirty,Kathryn Bigelow,2012
The Ascent,Larisa Shepitko,1977
Daughters of the Dust,Julie Dash,1991
Fish Tank,Andrea Arnold,2009
Toni Erdmann,Maren Ade,2016
The Hurt Locker,Kathryn Bigelow,2008
Daisies,Věra Chytilová,1966
Lost in Translation,Sofia Coppola,2003
Beau Travail,Claire Denis,1999
"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles",Chantal Akerman,1975
Cléo from 5 to 7,Agnès Varda,1962
The Piano,Jane Campion,1993
