title,release_year,director_name
Unbroken,2014,Angelina Jolie
You’ve Got Mail,1998,Nora Ephron
Wayne’s World,1992,Penelope Spheeris
Something’s Gotta Give,2003,Nancy Meyers
Sleepless in Seattle,1992,Nora Ephron
The Matrix Revolutions,2003,The Wachowskis
Look Who’s Talking,1989,Amy Heckerling
Deep Impact,1998,Mimi Leder
Kung Fu Panda 3,2016,"Jennifer Yuh Nelson, Alessandro Carloni"
Dr. Dolittle,1998,Betty Thomas
Mamma Mia!,2008,Phyllida Lloyd
Shark Tale,2004,"Vicky Jenson, Bibo Bergeron, Rob Letterman"
The Proposal,2009,Anne Fletcher
Eternals,2021,Chloé Zhao
Kung Fu Panda 2,2011,Jennifer Yuh Nelson
Fifty Shades of Grey,2015,Sam Taylor-Johnson
The Matrix,1999,The Wachowskis
What Women Want,2000,Nancy Meyers
Black Widow,2021,Cate Shortland
Pitch Perfect 2,2015,Elizabeth Banks
Twilight,2008,Catherine Hardwicke
Alvin and the Chipmunks: The Squeakquel,2009,Betty Thomas
Brave,2012,"Mark Andrews, Brenda Chapman"
Shrek,2001,"Vicky Jenson, Andrew Adamson"
The Matrix Reloaded,2003,The Wachowskis
Frozen,2013,"Jennifer Lee, Chris Buck"
Wonder Woman,2017,Patty Jenkins
Captain Marvel,2019,"Anna Boden, Ryan Fleck"
Frozen II,2019,"Jennifer Lee, Chris Buck"
Barbie,2023,Greta Gerwig
