director_name
susanne bier
agns varda
vincent paronnaud
marjane satrapi
margarethe von trotta
deniz gamze ergven
greta gerwig
sarah polley
jane campion
penny marshall
haifaa almansour
raoul walsh
patty jenkins
andrea arnold
mary harron
lynne ramsay
elaine may
maren ade
sofia coppola
debra granik
mai zetterling
kimberly peirce
anna muylaert
kathryn bigelow
dorota kedzierzawska
mira nair
isabel coixet
deepa mehta
lina wertmller
larisa shepitko
nadine labaki
agns jaoui
agnieszka holland
alice guy
ana carolina
annemarie miville
byambasuren davaa
catherine breillat
chantal akerman
claire denis
claudia llosa
danile huillet
dorothy arzner
germaine dulac
ida lupino
jasmila zbanic
kelly reichardt
kira muratova
len lye
leni riefenstahl
liliana cavani
liv ullmann
lone scherfig
lotte reiniger
luca puenzo
lucrecia martel
marguerite duras
marie menken
marleen gorris
mrta mszros
maya deren
miranda july
nadezhda kosheverova
naomi kawase
sally potter
samira makhmalbaf
su friedrich
vera chytilov
alexander hammid
julie dash
chlo zhao
amy heckerling
barbra streisand
roy del ruth
carl koch
barbara loden
lana wachowski
lilly wachowski
phillips smalley
lois weber
barbara kopple
kathleen collins
susan seidelman
kasi lemmons
jennifer kent
donna deitch
euzhan palcy
ava duvernay
niki caro
cheryl dunye
forugh farrokhzad
penelope spheeris
mabel normand
mlanie laurent
jennie livingston
tamara jenkins
cline sciamma
gillian armstrong
zora neale hurston
trinh t minhha
gurinder chadha
patricia cardoso
marielle heller
karyn kusama
kirsten johnson
shirley clarke
dee rees
gina princebythewood
lisa cholodenko
catherine hardwicke
nicole holofcener
claudia weill
desiree akhavan
joan micklin silver
sara gmez
nancy meyers
allison anders
joanna hogg
alanis obomsawin
barbara hammer
nora twomey
martha coolidge
anahita ghazvinizadeh
rungano nyoni
chris buck
jennifer lee
so yong kim
floria sigismondi
lesli linka glatter
amma asante
jennifer phang
michelle maclaren
reed morano
gabriela cowperthwaite
ana lily amirpour
kitty green
sarah adina smith
atsuko hirayanagi
lucia aniello
trish sie
sydney freeland
sabaah folayan
jessica m thompson
eliza hittman
lake bell
amy berg
julia ducournau
neema barnette
victoria mahoney
tanya hamilton
kat candler
salli richardsonwhitfield
tina mabry
aurora guerrero
maryam keshavarz
amanda marsalis
demane davis
garrett bradley
liesl tommy
christina alexandra voros
leslye headland
mimi leder
meera menon
jehane noujaim
amy seimetz
joey soloway
jodie foster
jamie babbit
elizabeth banks
brenda chapman
gia coppola
hannah fidell
valerie faris
shana feste
anne fletcher
anne fontaine
pamela fryman
jennifer getzinger
sanaa hamri
mia hansenlve
courtney hunt
vicky jenson
beeban kidron
phyllida lloyd
gail mancuso
kristen stewart
kat hunt
beth mccarthymiller
rebecca miller
jennifer yuh nelson
angelina jolie
stacie passon
laura poitras
gillian robespierre
bayne gibby
patricia rozema
lynn shelton
julie taymor
alice winocour
quinn shephard
ruby rose
sara colangelo
christina choe
jennifer fox
kimberly reed
stephanie soechtig
amy scott
laura nix
heather lenz
alexandria bombach
sophie sartain
roberta grossman
cathy yan
isabella eklf
