title,director,cast
Anatomy of a Fall,Justine Triet,"['Sandra Hüller', 'Swann Arlaud', 'Milo Machado Graner', 'Antoine Reinartz']"
Past Lives,Celine Song,"['Greta Lee', 'Teo Yoo', 'John Magaro', 'Seung-ah Moon']"
"Are You There God? It's Me, Margaret.",Kelly Fremon Craig,"['Rachel McAdams', 'Abby Ryder Fortson', 'Elle Graham', 'Benny Safdie']"
Bottoms,Emma Seligman,"['Rachel Sennott', 'Ayo Edebiri', 'Havana Rose Liu', 'Kaia Gerber']"
Rye Lane,Raine Allen Miller,"['David Jonsson', 'Vivian Oparah', 'Charlie Knight', 'Simon Manyonda']"
You Are So Not Invited to My Bat Mitzvah,Sammi Cohen,"['Idina Menzel', 'Jackie Sandler', 'Adam Sandler', 'Sadie Sandler']"
Joy Ride,Adele Lim,"['Stephanie Hsu', 'David Denman', 'Ashley Park', 'Annie Mumolo']"
Reality,Tina Satter,"['Sydney Sweeney', 'Josh Hamilton', 'Marchánt Davis', 'John Way']"
The Starling Girl,Laurel Parmet,"['Eliza Scanlen', 'Lewis Pullman', 'Jimmi Simpson', 'Wrenn Schmidt']"
Scrapper,Charlotte Regan,"['Lola Campbell', 'Alin Uzun', 'Harris Dickinson', 'Ambreen Razia']"
You Hurt My Feelings,Nicole Holofcener,"['Julia Louis-Dreyfus', 'Tobias Menzies', 'Michaela Watkins', 'Arian Moayed']"
How to Have Sex,Molly Manning Walker,"['Mia McKenna-Bruce', 'Samuel Bottomley', 'Lara Peake', 'Shaun Thomas']"
birth/rebirth,Laura Moss,"['Judy Reyes', 'Marin Ireland', 'A.J. Lister', 'Breeda Wool']"
Four Daughters,Kaouther Ben Hania,"['Hend Sabry', 'Olfa Hamrouni', 'Eya Chikahoui', 'Tayssir Chikhaoui']"
Earth Mama,Savanah Leaf,"['Tia Nomore', 'Erika Alexander', 'Doechii', 'Sharon Duncan-Brewster']"
Shayda,Noora Niasari,"['Zar Amir-Ebrahimi', 'Mojean Aria', 'Leah Purcell', 'Jillian Nguyen']"
A Thousand and One,A.V. Rockwell,"['Teyana Taylor', 'Aaron Kingsley Adetola', 'Aven Courtney', 'Josiah Cross']"
Girl Picture,Alli Haapasalo,"['Aamu Milonoff', 'Linnea Leino', 'Sonya Lindfors', 'Cécile Orblin']"
Till,Chinonye Chukwu,"['Danielle Deadwyler', 'Jalyn Hall', 'Frankie Faison', 'Haley Bennett']"
Sissy,Hannah Barlow,"['Aisha Dee', 'Yerin Ha', 'Lucy Barrett', 'Hannah Barlow']"
Turning Red,Domee Shi,"['Rosalie Chiang', 'Sandra Oh', 'Ava Morse', 'Hyein Park']"
The Woman King,Gina Prince-Bythewood,"['Viola Davis', 'Thuso Mbedu', 'Lashana Lynch', 'Sheila Atim']"
"Good Luck to You, Leo Grande",Sophie Hyde,"['Emma Thompson', 'Daryl McCormack', 'Isabella Laughland', 'Charlotte Ware']"
Aftersun,Charlotte Wells,"['Paul Mescal', 'Frankie Corio', 'Celia Rowlson-Hall', 'Kayleigh Coleman']"
Hatching,Hanna Bergholm,"['Siiri Solalinna', 'Sophia Heikkilä', 'Jani Volanen', 'Oiva Ollila']"
Piggy,Carlota Pereda,"['Laura Galán', 'Richard Holmes', 'Carmen Machi', 'Irene Ferreiro']"
Deadstream,Joseph Winter,"['Joseph Winter', 'Melanie Stone', 'Jason K. Wixom', 'Pat Barnett']"
Nanny,Nikyatu Jusu,"['Anna Diop', 'Michelle Monaghan', 'Sinqua Walls', 'Morgan Spector']"
The Cow Who Sang a Song Into the Future,Francisca Alegría,"['Mía Maestro', 'Enzo Ferrada Rosati', 'Benjamin Soto', 'Leonor Varela']"
You Can Live Forever,Sarah Watts,"[""Anwen O'Driscoll"", 'June Laporte', 'Jennifer Laporte', 'Liane Balaban']"
Leonor Will Never Die,Martika Ramirez Escobar,"['Rocky Salumbides', 'Sheila Francisco', 'Bong Cabrera', 'Anthony Falcon']"
The Unknown Country,Morrisa Maltz,"['Lily Gladstone', 'Raymond Lee', 'Ali Lopez-Sohaili', 'Richard Ray Whitman']"
Chile '76,Manuela Martelli,"['Aline Küppenheim', 'Nicolás Sepúlveda', 'Hugo Medina', 'Alejandro Goic']"
Other People's Children,Rebecca Zlotowski,"['Virginie Efira', 'Roschdy Zem', 'Victor Lefebvre', 'Chiara Mastroianni']"
War Pony,Riley Keough,"['Jojo Bapteise Whiting', 'LaDainian Crazy Thunder', 'Ashley Shelton', 'Robert Stover']"
Falcon Lake,Charlotte Le Bon,"['Joseph Engel', 'Sara Montpetit', 'Monia Chokri', 'Arthur Igual']"
