const,title,year,genres,director_name
tt0102685,Point Break,1991,"Action, Crime, Thriller",Kathryn Bigelow
tt0144084,American Psycho,2000,"Crime, Drama, Horror",Mary Harron
tt8093700,The Woman King,2022,"Action, Drama, History",Gina Prince-Bythewood
tt2396589,Mudbound,2017,"Drama, War",Dee Rees
tt5742374,You Were Never Really Here,2017,"Crime, Drama, Thriller",Lynne Ramsay
tt10008784,Bull,2019,Drama,Annie Silverstein
tt2737304,Bird Box,2018,"Horror, Mystery, Sci-Fi",Susanne Bier
tt1399683,Winter's Bone,2010,"Crime, Drama, Mystery, Thriller",Debra Granik
tt1020072,Selma,2014,"Biography, Drama, History",Ava DuVernay
tt19770238,Aftersun,2022,Drama,Charlotte Wells
tt10612922,One Night in Miami...,2020,Drama,Regina King
tt0094737,Big,1988,"Comedy, Drama, Fantasy, Romance",Penny Marshall
tt3901826,The Breadwinner,2017,"Animation, Drama, Family, War",Nora Twomey
tt5672290,The First Omen,2024,Horror,Arkasha Stevenson
tt0451279,Wonder Woman,2017,"Action, Adventure, Fantasy, Sci-Fi, War",Patty Jenkins
tt11233960,The Unforgivable,2021,"Crime, Drama, Mystery",Nora Fingscheidt
tt8649252,Scrapper,2023,"Comedy, Drama",Charlotte Regan
tt2361509,The Intern,2015,"Comedy, Drama",Nancy Meyers
tt0114558,Strange Days,1995,"Crime, Drama, Sci-Fi, Thriller",Kathryn Bigelow
tt0015532,The Adventures of Prince Achmed,1926,"Animation, Adventure, Drama, Family, Fantasy, Music, Romance","Lotte Reiniger, Carl Koch"
tt1790885,Zero Dark Thirty,2012,"Drama, History, Thriller",Kathryn Bigelow
tt12427158,A Thousand and One,2023,"Crime, Drama",A.V. Rockwell
tt15893750,Rye Lane,2023,"Comedy, Drama, Romance",Raine Allen-Miller
tt3892172,Leave No Trace,2018,"Adventure, Drama",Debra Granik
tt1242460,We Need to Talk About Kevin,2011,"Drama, Mystery, Thriller",Lynne Ramsay
tt1051906,The Invisible Man,2020,"Drama, Horror, Mystery, Sci-Fi, Thriller",Leigh Whannell
tt1673430,Superman/Batman: Apocalypse,2010,"Animation, Action, Adventure, Sci-Fi",Lauren Montgomery
tt0335266,Lost in Translation,2003,"Comedy, Drama",Sofia Coppola
tt19637052,Love Lies Bleeding,2024,"Action, Adventure, Crime, Mystery, Romance, Thriller",Rose Glass
tt13238346,Past Lives,2023,"Drama, Romance",Celine Song
