tconst,title,release_year,genres,adjusted_budget,adjusted_domestic_gross,director_ids,director_names,production_companies,production_countries,spoken_languages
tt1375666,inception,2010,"Action,Adventure,Sci-Fi",230646492.434663,421760457.1664374,nm0634240,christopher nolan,"Legendary Pictures, Syncopy, Warner Bros. Pictures","United Kingdom, United States of America","English, French, Japanese, Swahili"
tt0816692,interstellar,2014,"Adventure,Drama,Sci-Fi",219163498.0988593,269937122.9708492,nm0634240,christopher nolan,"Legendary Pictures, Syncopy, Lynda Obst Productions","United Kingdom, United States of America",English
tt0137523,fight club,1999,Drama,118890756.302521,69881537.02761103,nm0000399,david fincher,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",United States of America,English
tt0110912,pulp fiction,1994,"Crime,Drama",18032388.663967613,228966280.51821864,nm0000233,quentin tarantino,"Miramax, A Band Apart, Jersey Films",United States of America,"English, Spanish, French"
tt0109830,forrest gump,1994,"Drama,Romance",116680161.94331984,700401604.5020243,nm0000709,robert zemeckis,"Paramount, The Steve Tisch Company, Wendy Finerman Productions",United States of America,English
tt1853728,django unchained,2012,"Comedy,Drama,Western",136933797.90940765,222935663.9790941,nm0000233,quentin tarantino,"The Weinstein Company, Columbia Pictures",United States of America,"English, French, German"
tt0111161,the shawshank redemption,1994,Drama,53036437.24696356,59913075.93522267,nm0001104,frank darabont,Castle Rock Entertainment,United States of America,English
tt0120338,titanic,1997,"Drama,Romance",391775700.93457943,1321185221.7271028,nm0000116,james cameron,"Paramount, 20th Century Fox, Lightstorm Entertainment",United States of America,"English, French, German, Swedish, Italian, Russian"
tt1130884,shutter island,2010,"Drama,Mystery,Thriller",115323246.2173315,184535838.83356255,nm0000217,martin scorsese,"Phoenix Pictures, Paramount, Appian Way, Sikelia Productions, Mandate International",United States of America,"English, German"
tt0993846,the wolf of wall street,2013,"Biography,Comedy,Crime",134935622.31759655,157806107.87639484,nm0000217,martin scorsese,"EMJAG Productions, Red Granite Pictures, Appian Way, Sikelia Productions",United States of America,"English, French"
tt0361748,inglourious basterds,2009,"Adventure,Drama,War",102601398.60139859,177023460.85594404,nm0000233,quentin tarantino,"The Weinstein Company, Universal Pictures, A Band Apart, Zehnte Babelsberg Film, Visiona Romantica, Peninsula Films","France, Germany, United States of America","German, English, French, Italian"
tt0114369,seen,1995,"Crime,Drama,Mystery",68078740.15748031,208172733.33858263,nm0000399,david fincher,"New Line Cinema, Juno Pix, Cecchi Gori Pictures",United States of America,English
tt1049413,up,2009,"Adventure,Animation,Comedy",256503496.50349647,429466243.1776223,"nm0230032,nm0677037","pete docter,bob peterson",Pixar,United States of America,English
tt3659388,the martian,2015,"Adventure,Drama,Sci-Fi",143270886.07594937,303036049.1443038,nm0000631,ridley scott,"Scott Free Productions, Genre Films","United Kingdom, United States of America","English, Mandarin"
tt2380307,coco,2017,"Adventure,Animation,Drama",224479804.1615667,269965845.43451655,"nm0881279,nm2937122","lee unkrich,adrian molina","Pixar, Walt Disney Pictures",United States of America,"English, Spanish"
tt0910970,walle,2008,"Adventure,Animation,Family",262851834.6493265,326824369.5383186,nm0004056,andrew stanton,"Pixar, Walt Disney Pictures",United States of America,English
tt2267998,gone girl,2014,"Drama,Mystery,Thriller",81024081.11533587,222839054.59062105,nm0000399,david fincher,"Regency Enterprises, New Regency Pictures, Pacific Standard, TSG Entertainment, Artemple - Hollywood, 20th Century Fox",United States of America,English
tt1663202,the revenant,2015,"Action,Adventure,Drama",179088607.5949367,243610775.83797467,nm0327944,alejandro g. iñárritu,"Monarchy Enterprises S.a.r.l., Regency Enterprises, Appian Way, CatchPlay, Anonymous Content, New Regency Pictures, Hong Kong Alpha Motion Pictures Co., M Productions, RatPac Entertainment","Canada, Hong Kong, Taiwan, United States of America","English, French"
tt0120382,the truman show,1998,"Comedy,Drama",115730061.34969325,242296701.80613497,nm0001837,peter weir,"Paramount, Scott Rudin Productions",United States of America,English
