year_film,year_ceremony,ceremony,category,name,film,winner
1927,1928,1,ACTOR,Emil Jannings,The Last Command,True
1927,1928,1,ACTRESS,Janet Gaynor,7th Heaven,True
1928,1929,2,ACTOR,Warner Baxter,In Old Arizona,True
1928,1929,2,ACTRESS,Mary Pickford,Coquette,True
1929,1930,3,ACTOR,George Arliss,Disraeli,True
1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,True
1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,True
1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,True
1931,1932,5,ACTOR,Wallace Beery,The Champ,True
1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True
1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,True
1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,True
1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,True
1934,1935,7,ACTOR,Clark Gable,It Happened One Night,True
1934,1935,7,ACTRESS,Claudette Colbert,It Happened One Night,True
1935,1936,8,ACTOR,Victor McLaglen,The Informer,True
1935,1936,8,ACTRESS,Bette Davis,Dangerous,True
1936,1937,9,ACTOR,Paul Muni,The Story of Louis Pasteur,True
1936,1937,9,ACTOR IN A SUPPORTING ROLE,Walter Brennan,Come and Get It,True
1936,1937,9,ACTRESS,Luise Rainer,The Great Ziegfeld,True
1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard,Anthony Adverse,True
1937,1938,10,ACTOR,Spencer Tracy,Captains Courageous,True
1937,1938,10,ACTOR IN A SUPPORTING ROLE,Joseph Schildkraut,The Life of Emile Zola,True
1937,1938,10,ACTRESS,Luise Rainer,The Good Earth,True
1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Alice Brady,In Old Chicago,True
1938,1939,11,ACTOR,Spencer Tracy,Boys Town,True
1938,1939,11,ACTOR IN A SUPPORTING ROLE,Walter Brennan,Kentucky,True
1938,1939,11,ACTRESS,Bette Davis,Jezebel,True
1938,1939,11,ACTRESS IN A SUPPORTING ROLE,Fay Bainter,Jezebel,True
1939,1940,12,ACTOR,Robert Donat,"Goodbye, Mr. Chips",True
1939,1940,12,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,Stagecoach,True
1939,1940,12,ACTRESS,Vivien Leigh,Gone with the Wind,True
1939,1940,12,ACTRESS IN A SUPPORTING ROLE,Hattie McDaniel,Gone with the Wind,True
1940,1941,13,ACTOR,James Stewart,The Philadelphia Story,True
1940,1941,13,ACTOR IN A SUPPORTING ROLE,Walter Brennan,The Westerner,True
1940,1941,13,ACTRESS,Ginger Rogers,Kitty Foyle,True
1940,1941,13,ACTRESS IN A SUPPORTING ROLE,Jane Darwell,The Grapes of Wrath,True
1941,1942,14,ACTOR,Gary Cooper,Sergeant York,True
1941,1942,14,ACTOR IN A SUPPORTING ROLE,Donald Crisp,How Green Was My Valley,True
1941,1942,14,ACTRESS,Joan Fontaine,Suspicion,True
1941,1942,14,ACTRESS IN A SUPPORTING ROLE,Mary Astor,The Great Lie,True
1942,1943,15,ACTOR,James Cagney,Yankee Doodle Dandy,True
1942,1943,15,ACTOR IN A SUPPORTING ROLE,Van Heflin,Johnny Eager,True
1942,1943,15,ACTRESS,Greer Garson,Mrs. Miniver,True
1942,1943,15,ACTRESS IN A SUPPORTING ROLE,Teresa Wright,Mrs. Miniver,True
1943,1944,16,ACTOR,Paul Lukas,Watch on the Rhine,True
1943,1944,16,ACTOR IN A SUPPORTING ROLE,Charles Coburn,The More the Merrier,True
1943,1944,16,ACTRESS,Jennifer Jones,The Song of Bernadette,True
1943,1944,16,ACTRESS IN A SUPPORTING ROLE,Katina Paxinou,For Whom the Bell Tolls,True
1944,1945,17,ACTOR,Bing Crosby,Going My Way,True
1944,1945,17,ACTOR IN A SUPPORTING ROLE,Barry Fitzgerald,Going My Way,True
1944,1945,17,ACTRESS,Ingrid Bergman,Gaslight,True
1944,1945,17,ACTRESS IN A SUPPORTING ROLE,Ethel Barrymore,None but the Lonely Heart,True
1945,1946,18,ACTOR,Ray Milland,The Lost Weekend,True
1945,1946,18,ACTOR IN A SUPPORTING ROLE,James Dunn,A Tree Grows in Brooklyn,True
1945,1946,18,ACTRESS,Joan Crawford,Mildred Pierce,True
1945,1946,18,ACTRESS IN A SUPPORTING ROLE,Anne Revere,National Velvet,True
1946,1947,19,ACTOR,Fredric March,The Best Years of Our Lives,True
1946,1947,19,ACTOR IN A SUPPORTING ROLE,Harold Russell,The Best Years of Our Lives,True
1946,1947,19,ACTRESS,Olivia de Havilland,To Each His Own,True
1946,1947,19,ACTRESS IN A SUPPORTING ROLE,Anne Baxter,The Razor's Edge,True
