rank,year,title,domestic_gross
1,2009,Avatar,"$785,221,649"
2,2019,Avengers: Endgame,"$858,373,000"
3,2022,Avatar: The Way of Water,"$684,075,767"
4,1997,Titanic,"$674,460,013"
5,2015,Star Wars Ep. VII: The Force Awakens,"$936,662,225"
6,2018,Avengers: Infinity War,"$678,815,482"
7,2021,Spider-Man: No Way Home,"$814,811,535"
8,2024,Inside Out 2,"$652,980,194"
9,2015,Jurassic World,"$653,406,625"
10,2019,The Lion King,"$543,638,043"
11,2012,The Avengers,"$623,357,910"
12,2015,Furious 7,"$353,007,020"
13,2022,Top Gun: Maverick,"$718,732,821"
14,2019,Frozen II,"$477,373,578"
15,2023,Barbie,"$636,238,421"
16,2015,Avengers: Age of Ultron,"$459,005,868"
17,2023,The Super Mario Bros. Movie,"$574,934,330"
18,2024,Deadpool & Wolverine,"$636,745,858"
19,2018,Black Panther,"$700,059,566"
20,2017,Star Wars Ep. VIII: The Last Jedi,"$620,181,382"
21,2011,Harry Potter and the Deathly Hallows:…,"$381,193,157"
22,2018,Jurassic World: Fallen Kingdom,"$417,719,760"
23,2013,Frozen,"$400,953,009"
24,2017,Beauty and the Beast,"$504,014,165"
25,2018,Incredibles 2,"$608,581,744"
26,2017,The Fate of the Furious,"$225,764,765"
27,2013,Iron Man 3,"$408,992,272"
28,2015,Minions,"$336,045,770"
29,2016,Captain America: Civil War,"$408,084,349"
30,2019,Spider-Man: Far From Home,"$391,362,492"
31,2018,Aquaman,"$335,061,807"
32,2019,Captain Marvel,"$426,829,839"
33,2003,The Lord of the Rings: The Return of …,"$381,472,917"
34,2011,Transformers: Dark of the Moon,"$352,390,543"
35,2012,Skyfall,"$304,360,277"
36,2014,Transformers: Age of Extinction,"$245,439,076"
37,2012,The Dark Knight Rises,"$448,139,099"
38,2019,Toy Story 4,"$434,038,008"
39,2019,Star Wars: The Rise of Skywalker,"$515,202,542"
40,2010,Toy Story 3,"$415,004,880"
41,2006,Pirates of the Caribbean: Dead Man’s …,"$423,315,812"
42,2019,Joker,"$335,451,311"
43,1993,Jurassic Park,"$415,404,543"
44,2016,Rogue One: A Star Wars Story,"$533,539,991"
45,2019,Aladdin,"$355,559,216"
46,1999,Star Wars Ep. I: The Phantom Menace,"$487,574,671"
47,2011,Pirates of the Caribbean: On Stranger…,"$241,071,802"
48,2017,Despicable Me 3,"$264,624,300"
49,2010,Alice in Wonderland,"$334,191,110"
50,2016,Zootopia,"$341,268,248"
51,2016,Finding Dory,"$486,295,561"
52,2012,The Hobbit: An Unexpected Journey,"$303,003,568"
53,2008,The Dark Knight,"$534,235,491"
54,2022,Jurassic World: Dominion,"$376,851,080"
55,1994,The Lion King,"$423,981,226"
56,2024,Moana 2,"$436,353,939"
57,2023,Oppenheimer,"$329,862,540"
58,2013,Despicable Me 2,"$368,065,385"
59,2024,Despicable Me 4,"$361,004,205"
60,2001,Harry Potter and the Sorcerer’s Stone,"$317,871,467"
61,2017,Jumanji: Welcome to the Jungle,"$404,508,916"
62,2007,Pirates of the Caribbean: At World’s …,"$309,420,425"
63,2013,The Hobbit: The Desolation of Smaug,"$258,241,522"
64,2022,Doctor Strange in the Multiverse of M…,"$411,331,607"
65,2016,The Jungle Book,"$364,001,123"
66,2010,Harry Potter and the Deathly Hallows:…,"$296,837,581"
67,2014,The Hobbit: The Battle of the Five Ar…,"$255,119,788"
68,2022,Minions: The Rise of Gru,"$370,549,695"
69,2007,Harry Potter and the Order of the Pho…,"$292,137,260"
70,2003,Finding Nemo,"$380,529,370"
71,2004,Shrek 2,"$441,426,807"
72,2009,Harry Potter and the Half-Blood Prince,"$302,089,278"
73,2002,The Lord of the Rings: The Two Towers,"$345,115,396"
74,2021,Chang jin hu,"$333,214"
75,2007,Spider-Man 3,"$337,607,351"
76,2001,The Lord of the Rings: The Fellowship…,"$318,651,105"
77,2009,Ice Age: Dawn of the Dinosaurs,"$196,573,705"
78,2016,The Secret Life of Pets,"$369,094,830"
79,2005,Harry Potter and the Goblet of Fire,"$290,201,752"
80,2012,Ice Age: Continental Drift,"$161,321,843"
81,2018,Bohemian Rhapsody,"$216,303,339"
82,2015,Spectre,"$200,074,175"
83,2017,Spider-Man: Homecoming,"$334,580,976"
84,2002,Harry Potter and the Chamber of Secrets,"$262,233,381"
85,2016,Batman v Superman: Dawn of Justice,"$330,360,194"
86,2017,Wolf Warrior 2 (战狼2),"$2,721,100"
87,2017,Guardians of the Galaxy Vol 2,"$389,813,101"
88,2013,The Hunger Games: Catching Fire,"$424,668,047"
89,2018,Venom,"$213,511,408"
90,2022,Black Panther: Wakanda Forever,"$453,829,060"
91,2017,Thor: Ragnarok,"$315,058,289"
92,2015,Inside Out,"$356,461,711"
93,2005,Star Wars Ep. III: Revenge of the Sith,"$380,270,577"
94,2023,Guardians of the Galaxy Vol 3,"$358,995,815"
95,2021,"Hi, Mom (你好, 李焕英)",
96,2009,Transformers: Revenge of the Fallen,"$402,111,870"
97,2012,"The Twilight Saga: Breaking Dawn, Part 2","$292,324,737"
98,2010,Inception,"$292,576,195"
99,2002,Spider-Man,"$404,652,858"
100,2017,Wonder Woman,"$412,563,408"
101,1996,Independence Day,"$306,169,255"
102,2016,Fantastic Beasts and Where to Find Them,"$234,037,575"
103,2007,Shrek the Third,"$322,719,944"
104,1982,E.T. the Extra-Terrestrial,"$439,454,989"
105,2017,Coco,"$210,460,015"
106,2004,Spider-Man 2,"$374,715,055"
107,2019,Jumanji: The Next Level,"$316,831,246"
108,2017,Pirates of the Caribbean: Dead Men Te…,"$172,558,876"
109,2013,Fast and Furious 6,"$238,679,850"
110,2008,Indiana Jones and the Kingdom of the …,"$317,101,119"
111,2018,Mission: Impossible—Fallout,"$220,159,104"
112,2018,Deadpool 2,"$324,591,735"
113,2004,Harry Potter and the Prisoner of Azkaban,"$249,757,726"
114,2016,Deadpool,"$363,070,709"
115,1977,Star Wars Ep. IV: A New Hope,"$460,998,007"
116,2014,Guardians of the Galaxy,"$333,714,112"
117,2006,The Da Vinci Code,"$217,536,138"
118,2014,The Hunger Games: Mockingjay - Part 1,"$337,135,885"
119,2022,The Batman,"$369,345,583"
120,2022,Thor: Love and Thunder,"$343,256,830"
121,2019,Fast & Furious Presents: Hobbs & Shaw,"$173,956,935"
122,2021,No Time to Die,"$160,891,007"
123,2012,The Amazing Spider-Man,"$262,717,220"
124,2014,Maleficent,"$241,407,328"
125,2009,2012,"$166,112,167"
126,2010,Shrek Forever After,"$238,736,787"
127,2014,X-Men: Days of Future Past,"$233,921,534"
128,2012,Madagascar 3: Europe's Most Wanted,"$216,391,482"
129,2016,Suicide Squad,"$325,100,054"
130,2013,Monsters University,"$268,488,329"
131,2019,Ne Zha (哪吒之魔童降世),"$3,695,533"
132,2003,The Matrix Reloaded,"$281,553,689"
133,2009,Up,"$293,004,164"
134,2005,"The Chronicles of Narnia: The Lion, t…","$291,710,957"
135,2021,F9: The Fast Saga,"$173,005,945"
136,2014,Captain America: The Winter Soldier,"$259,746,958"
137,2023,Fast X,"$146,126,015"
138,2014,Dawn of the Planet of the Apes,"$208,545,589"
139,2014,The Amazing Spider-Man 2,"$203,530,343"
140,2007,Transformers,"$319,246,193"
141,2024,Dune: Part Two,"$282,144,358"
142,2010,The Twilight Saga: Eclipse,"$300,531,751"
143,2017,It,"$328,828,874"
144,2024,Wicked,"$460,576,550"
145,2011,Mission: Impossible—Ghost Protocol,"$209,397,903"
146,2015,Mission: Impossible—Rogue Nation,"$195,042,377"
147,2009,The Twilight Saga: New Moon,"$296,623,634"
148,2013,Gravity,"$274,092,705"
149,2016,Moana,"$248,757,044"
150,2011,"The Twilight Saga: Breaking Dawn, Part 1","$281,287,133"
151,2023,Spider-Man: Across the Spider-Verse,"$381,593,754"
152,1994,Forrest Gump,"$330,151,138"
153,2012,The Hunger Games,"$408,010,692"
154,2016,Doctor Strange,"$232,641,920"
155,1999,The Sixth Sense,"$293,506,292"
156,2013,Man of Steel,"$291,045,518"
157,2011,Kung Fu Panda 2,"$165,249,063"
158,2002,Star Wars Ep. II: Attack of the Clones,"$310,676,740"
159,2017,Justice League,"$229,024,295"
160,2019,The Wandering Earth (流浪地球),"$5,875,487"
161,2003,Pirates of the Caribbean: The Curse o…,"$305,410,819"
162,2012,Men in Black 3,"$179,020,854"
163,2015,The Martian,"$228,433,663"
164,2006,Ice Age: The Meltdown,"$195,330,621"
165,2018,Fantastic Beasts: The Crimes of Grind…,"$159,555,901"
166,2014,Big Hero 6,"$222,527,828"
167,2015,The Hunger Games: Mockingjay - Part 2,"$281,723,902"
168,2013,Thor: The Dark World,"$206,362,140"
169,2014,Interstellar,"$203,225,563"
170,2023,Full River Red (满江红),
171,2008,Kung Fu Panda,"$215,727,546"
172,2004,The Incredibles,"$261,441,092"
173,2016,Sing,"$270,329,045"
174,2011,Fast Five,"$210,031,325"
175,2007,Ratatouille,"$206,445,654"
176,2023,Wonka,"$218,402,312"
177,2021,Detective Chinatown 3 (唐人街探案3),
178,2008,Hancock,"$227,946,274"
179,2018,Ant-Man and the Wasp,"$216,648,740"
180,2004,The Passion of the Christ,"$370,782,930"
181,2010,Iron Man 2,"$312,433,331"
182,2012,Life of Pi,"$124,987,022"
183,1997,The Lost World: Jurassic Park,"$229,086,679"
184,2014,How to Train Your Dragon 2,"$177,002,924"
185,2017,Logan,"$226,277,068"
186,2005,War of the Worlds,"$234,280,354"
187,2022,Chang Jin Hu Zhi Shui Men Qiao (长津湖之水…,
188,2017,Transformers: The Last Knight,"$130,168,683"
189,2008,Madagascar: Escape 2 Africa,"$180,174,880"
190,2006,Casino Royale,"$167,365,000"
191,2008,Quantum of Solace,"$169,368,427"
192,1997,Men in Black,"$250,690,539"
193,2011,The Hangover Part II,"$254,464,305"
194,2007,I am Legend,"$256,393,010"
195,2008,Iron Man,"$318,604,126"
196,2008,Mamma Mia!,"$144,540,088"
197,2010,Tangled,"$200,821,936"
198,2006,Night at the Museum,"$250,863,268"
199,2018,Ready Player One,"$137,690,172"
200,2013,The Croods,"$187,168,425"
201,2015,Fifty Shades of Grey,"$166,167,230"
202,2023,The Little Mermaid,"$298,172,056"
203,2024,Godzilla x Kong: The New Empire,"$196,350,016"
204,2023,Mission: Impossible Dead Reckoning Pa…,"$172,640,980"
205,2023,The Wandering Earth 2 (流浪地球2),"$5,023,132"
206,2011,The Smurfs,"$142,614,158"
207,2017,Kong: Skull Island,"$168,052,812"
208,2001,"Monsters, Inc.","$290,149,425"
209,2011,Cars 2,"$191,450,875"
210,2005,Madagascar,"$193,595,521"
211,2012,Ted,"$218,665,740"
212,2004,The Day After Tomorrow,"$186,740,799"
213,2011,Puss in Boots,"$149,260,504"
214,2012,Brave,"$237,282,182"
215,1998,Armageddon,"$201,578,182"
216,2005,King Kong,"$218,080,025"
217,2023,No More Bets (孤注一掷),
218,2000,Mission: Impossible 2,"$215,409,889"
219,1980,Star Wars Ep. V: The Empire Strikes Back,"$291,738,960"
220,2024,Kung Fu Panda 4,"$193,590,620"
221,2014,American Sniper,"$350,126,372"
222,2010,Despicable Me,"$252,756,705"
223,2024,Mufasa: The Lion King,"$193,420,756"
224,2018,Detective Chinatown 2 (唐人街探案),"$1,983,984"
