name,domestic_gross,num_movies,avg_gross
a ali flores,3502600.0,1,3502600.0
a arthur takemoto,14378353.0,1,14378353.0
a frank ruffo,10020081.0,1,10020081.0
a halim mostafa,60652036.0,1,60652036.0
a lee morris,5078660.0,1,5078660.0
a manuel miranda,168283344.0,1,168283344.0
a martinez,22820907.0,3,7606969.0
a russell andrews,196616508.0,2,98308254.0
a sabrena farmer,42065185.0,1,42065185.0
a todd holland,39442871.0,1,39442871.0
aachal munjal,638144.0,1,638144.0
aakomon jones,214866165.0,2,107433082.5
aalia adam,96162245.0,2,48081122.5
aaliya cinello,58607007.0,1,58607007.0
aaliyah,86281140.0,2,43140570.0
aaliyah luu,57721819.0,1,57721819.0
aamir khan,40857529.0,6,6809588.166666667
aamir raza hussain,1055593.0,1,1055593.0
aamito lagum,8286741.0,1,8286741.0
aamna sharif,414116.0,1,414116.0
aap rocky,17506470.0,1,17506470.0
aaquil brown,47319572.0,1,47319572.0
aarav chowdhury,1326999.0,1,1326999.0
aarif lee,584441.0,2,292220.5
aarman toure,4974.0,1,4974.0
aaron a mcconnaughey,48102795.0,1,48102795.0
aaron abrams,83372396.0,6,13895399.333333334
aaron alexander,176689242.0,2,88344621.0
aaron altaras,408397.0,1,408397.0
aaron ashlock,156082015.0,2,78041007.5
aaron ashmore,374164.0,5,74832.8
aaron au,68420120.0,1,68420120.0
aaron bantum,65892759.0,2,32946379.5
aaron beelner,88368813.0,2,44184406.5
aaron behr,23240020.0,1,23240020.0
aaron benward,1005691.0,1,1005691.0
aaron brooks,104526.0,1,104526.0
aaron bruderer,29035702.0,2,14517851.0
aaron brumfield,21218403.0,1,21218403.0
aaron burns,7228627.0,3,2409542.3333333335
aaron carter,3102550.0,1,3102550.0
aaron chang,4839360.0,1,4839360.0
aaron clifton moten,26861424.0,2,13430712.0
aaron cohen,44819352.0,2,22409676.0
aaron craven,57111807.0,3,19037269.0
aaron crippen,61186570.0,1,61186570.0
aaron diaz,9270920.0,1,9270920.0
aaron dismuke,9767647.0,1,9767647.0
aaron dominguez,43915356.0,3,14638452.0
aaron douglas,270261291.0,6,45043548.5
aaron eckhart,1506771128.0,39,38635157.12820513
aaron eisenberg,35611828.0,2,17805914.0
aaron farb,109902851.0,3,36634283.666666664
aaron fenech,17547999.0,1,17547999.0
aaron ferguson,36895141.0,1,36895141.0
aaron fisher,8140.0,1,8140.0
aaron fors,880288121.0,4,220072030.25
aaron geraghty,13038660.0,1,13038660.0
aaron goetell,66502573.0,1,66502573.0
aaron gordon,42469946.0,1,42469946.0
