release_date,title,production_budget,domestic_gross
2020-2029,Blade,,
"May 7, 2027",Avengers: Secret Wars,,
"Nov 6, 2026",Untitled Marvel Movie,,
"May 1, 2026",Avengers: Doomsday,,
"Jul 25, 2025",The Fantastic Four: First S…,,
"May 2, 2025",Thunderbolts*,,
"Feb 14, 2025",Captain America: Brave New …,"$180,000,000","$88,500,000"
"Jul 26, 2024",Deadpool & Wolverine,"$200,000,000","$636,745,858"
"Nov 10, 2023",The Marvels,"$270,000,000","$84,500,223"
"May 5, 2023",Guardians of the Galaxy Vol 3,"$250,000,000","$358,995,815"
"Feb 17, 2023",Ant-Man and the Wasp: Quant…,"$200,000,000","$214,506,909"
"Nov 11, 2022",Black Panther: Wakanda Forever,"$250,000,000","$453,829,060"
"Oct 7, 2022",Werewolf by Night,,
"Jul 8, 2022",Thor: Love and Thunder,"$250,000,000","$343,256,830"
"May 6, 2022",Doctor Strange in the Multi…,"$200,000,000","$411,331,607"
"Dec 17, 2021",Spider-Man: No Way Home,"$200,000,000","$814,811,535"
"Nov 5, 2021",Eternals,"$200,000,000","$164,870,264"
"Sep 3, 2021",Shang-Chi and the Legend of…,"$150,000,000","$224,543,292"
"Jul 9, 2021",Black Widow,"$200,000,000","$183,651,655"
"Jul 2, 2019",Spider-Man: Far From Home,"$160,000,000","$391,362,492"
"Apr 26, 2019",Avengers: Endgame,"$400,000,000","$858,373,000"
"Mar 8, 2019",Captain Marvel,"$175,000,000","$426,829,839"
"Jul 6, 2018",Ant-Man and the Wasp,"$130,000,000","$216,648,740"
"Apr 27, 2018",Avengers: Infinity War,"$300,000,000","$678,815,482"
"Feb 16, 2018",Black Panther,"$200,000,000","$700,059,566"
"Nov 3, 2017",Thor: Ragnarok,"$180,000,000","$315,058,289"
"Jul 7, 2017",Spider-Man: Homecoming,"$175,000,000","$334,580,976"
"May 5, 2017",Guardians of the Galaxy Vol 2,"$200,000,000","$389,813,101"
"Nov 4, 2016",Doctor Strange,"$165,000,000","$232,641,920"
"May 6, 2016",Captain America: Civil War,"$250,000,000","$408,084,349"
"Jul 17, 2015",Ant-Man,"$130,000,000","$180,202,163"
"May 1, 2015",Avengers: Age of Ultron,"$365,000,000","$459,005,868"
"Aug 1, 2014",Guardians of the Galaxy,"$170,000,000","$333,714,112"
"Apr 4, 2014",Captain America: The Winter…,"$170,000,000","$259,746,958"
"Nov 8, 2013",Thor: The Dark World,"$150,000,000","$206,362,140"
"May 3, 2013",Iron Man 3,"$200,000,000","$408,992,272"
"May 4, 2012",The Avengers,"$225,000,000","$623,357,910"
"Jul 22, 2011",Captain America: The First …,"$140,000,000","$176,654,505"
"May 6, 2011",Thor,"$150,000,000","$181,030,624"
"May 7, 2010",Iron Man 2,"$170,000,000","$312,433,331"
"Jun 13, 2008",The Incredible Hulk,"$137,500,000","$134,806,913"
"May 2, 2008",Iron Man,"$186,000,000","$318,604,126"
"Dec 17, 2027",Untitled Star Wars Movie,,
"May 22, 2026",The Mandalorian & Grogu,,
"Dec 20, 2019",Star Wars: The Rise of Skyw…,"$275,000,000","$515,202,542"
"May 25, 2018",Solo: A Star Wars Story,"$330,400,000","$213,767,512"
"Dec 15, 2017",Star Wars Ep. VIII: The Las…,"$262,000,000","$620,181,382"
"Dec 16, 2016",Rogue One: A Star Wars Story,"$280,200,000","$533,539,991"
"Dec 18, 2015",Star Wars Ep. VII: The Forc…,"$533,200,000","$936,662,225"
"Aug 15, 2008",Star Wars: The Clone Wars,"$8,500,000","$35,161,554"
"May 19, 2005",Star Wars Ep. III: Revenge …,"$115,000,000","$380,270,577"
"May 16, 2002",Star Wars Ep. II: Attack of…,"$115,000,000","$310,676,740"
"May 19, 1999",Star Wars Ep. I: The Phanto…,"$115,000,000","$487,574,671"
"May 25, 1983",Star Wars Ep. VI: Return of…,"$32,500,000","$316,465,003"
"May 21, 1980",Star Wars Ep. V: The Empire…,"$23,000,000","$291,738,960"
"May 25, 1977",Star Wars Ep. IV: A New Hope,"$11,000,000","$460,998,007"
"Oct 8, 2021",No Time to Die,"$250,000,000","$160,891,007"
"Nov 6, 2015",Spectre,"$245,000,000","$200,074,175"
"Nov 8, 2012",Skyfall,"$200,000,000","$304,360,277"
"Nov 14, 2008",Quantum of Solace,"$230,000,000","$169,368,427"
"Nov 17, 2006",Casino Royale,"$102,000,000","$167,365,000"
"Nov 22, 2002",Die Another Day,"$142,000,000","$160,942,139"
"Nov 19, 1999",The World is Not Enough,"$135,000,000","$126,930,660"
"Dec 19, 1997",Tomorrow Never Dies,"$110,000,000","$125,304,276"
"Nov 17, 1995",Goldeneye,"$60,000,000","$106,429,941"
"Jul 14, 1989",Licence to Kill,"$42,000,000","$34,667,015"
"Jul 31, 1987",The Living Daylights,"$40,000,000","$51,185,000"
"May 24, 1985",A View to a Kill,"$30,000,000","$50,327,960"
"Oct 7, 1983",Never Say Never Again,"$36,000,000","$55,500,000"
"Jun 10, 1983",Octopussy,"$27,500,000","$67,900,000"
"Jun 26, 1981",For Your Eyes Only,"$28,000,000","$54,800,000"
"Jun 29, 1979",Moonraker,"$31,000,000","$70,300,000"
"Jul 13, 1977",The Spy Who Loved Me,"$14,000,000","$46,800,000"
"Dec 20, 1974",The Man with the Golden Gun,"$7,000,000","$21,000,000"
"Jun 27, 1973",Live and Let Die,"$7,000,000","$35,400,000"
"Dec 17, 1971",Diamonds Are Forever,"$7,200,000","$43,800,000"
"Dec 18, 1969",On Her Majesty's Secret Ser…,"$8,000,000","$22,800,000"
"Jun 13, 1967",You Only Live Twice,"$9,500,000","$43,100,000"
"Dec 29, 1965",Thunderball,"$9,000,000","$63,600,000"
"Dec 22, 1964",Goldfinger,"$3,000,000","$51,100,000"
"Apr 8, 1964",From Russia With Love,"$2,000,000","$24,800,000"
"May 8, 1963",Dr. No,"$1,000,000","$16,067,035"
"Oct 1, 2027",The Batman: Part II,,
"Oct 4, 2024",Joker: Folie à Deux,"$190,000,000","$58,300,287"
"Mar 1, 2022",The Batman,"$200,000,000","$369,612,903"
"Jul 26, 2021",Batman: The Long Halloween …,,
"Oct 4, 2019",Joker,"$55,000,000","$335,451,311"
"Aug 15, 2017",Batman and Harley Quinn,,
"Feb 10, 2017",The Lego Batman Movie,"$80,000,000","$175,750,384"
"Jul 25, 2016",Batman: The Killing Joke,,"$3,775,000"
"Mar 25, 2016",Batman v Superman: Dawn of …,"$263,000,000","$330,360,194"
"Feb 2, 2016",Batman Bad: Blood,,
"Aug 4, 2015",Batman Unlimited: Monster M…,,
"Apr 28, 2015",Batman Unlimited: Animal In…,,
"Jan 29, 2013",Batman: The Dark Knight Ret…,"$3,500,000",
"Jul 20, 2012",The Dark Knight Rises,"$230,000,000","$448,139,099"
"Jul 18, 2008",The Dark Knight,"$185,000,000","$536,625,724"
"Jul 8, 2008",Batman: Gotham Knight,,
"Feb 26, 2008",Justice League - The New Fr…,,
"Jun 15, 2005",Batman Begins,"$150,000,000","$205,343,774"
"Jul 23, 2004",Catwoman,"$100,000,000","$40,202,379"
"Jun 20, 1997",Batman & Robin,"$125,000,000","$107,325,195"
"Jun 16, 1995",Batman Forever,"$100,000,000","$184,190,913"
"Dec 25, 1993",Batman: Mask of the Phantasm,,"$5,682,620"
"Jun 18, 1992",Batman Returns,"$80,000,000","$162,979,405"
"Jun 23, 1989",Batman,"$35,000,000","$252,651,617"
"Jul 6, 1966",Batman: The Movie,"$1,377,800",
2026,Spider-Man: Beyond the Spid…,,
"Jun 2, 2023",Spider-Man: Across the Spid…,"$100,000,000","$381,593,754"
"Dec 14, 2018",Spider-Man: Into The Spider…,"$90,000,000","$190,173,195"
"May 2, 2014",The Amazing Spider-Man 2,"$200,000,000","$203,530,343"
"Jul 3, 2012",The Amazing Spider-Man,"$220,000,000","$262,717,220"
"May 4, 2007",Spider-Man 3,"$258,000,000","$337,607,351"
"Jun 30, 2004",Spider-Man 2,"$200,000,000","$374,715,055"
"Sep 6, 2002",Spider-Man/Men in Black II …,,"$4,052,137"
"May 3, 2002",Spider-Man,"$139,000,000","$404,652,858"
"Apr 15, 2022",Fantastic Beasts: The Secre…,"$200,000,000","$95,850,844"
"Dec 31, 2020",Harry Potter Film Fest,,
"Nov 16, 2018",Fantastic Beasts: The Crime…,"$200,000,000","$159,555,901"
"Nov 18, 2016",Fantastic Beasts and Where …,"$180,000,000","$234,037,575"
"Oct 14, 2016",The Harry Potter IMAX Marathon,,"$1,729,226"
"Jul 15, 2011",Harry Potter and the Deathl…,"$125,000,000","$382,088,758"
"Jul 15, 2009",Harry Potter and the Half-B…,"$250,000,000","$302,854,063"
"Jul 11, 2007",Harry Potter and the Order …,"$150,000,000","$293,108,509"
"Nov 18, 2005",Harry Potter and the Goblet…,"$150,000,000","$291,147,424"
"Jun 4, 2004",Harry Potter and the Prison…,"$130,000,000","$250,853,809"
"Nov 15, 2002",Harry Potter and the Chambe…,"$100,000,000","$263,581,232"
"Nov 16, 2001",Harry Potter and the Sorcer…,"$125,000,000","$317,871,467"
"Aug 28, 2020",The New Mutants,"$67,000,000","$23,855,569"
"Jun 7, 2019",Dark Phoenix,"$200,000,000","$65,845,974"
"May 18, 2018",Deadpool 2,"$110,000,000","$324,591,735"
"Mar 3, 2017",Logan,"$127,000,000","$226,277,068"
"May 27, 2016",X-Men: Apocalypse,"$178,000,000","$155,442,489"
"Feb 12, 2016",Deadpool,"$58,000,000","$363,070,709"
"May 23, 2014",X-Men: Days of Future Past,"$200,000,000","$233,921,534"
"Jul 26, 2013",The Wolverine,"$115,000,000","$132,556,852"
"Jun 3, 2011",X-Men: First Class,"$160,000,000","$146,408,305"
"May 1, 2009",X-Men Origins: Wolverine,"$150,000,000","$179,883,157"
"May 26, 2006",X-Men: The Last Stand,"$210,000,000","$234,362,462"
"May 2, 2003",X-Men 2,"$125,000,000","$214,949,694"
"Jul 14, 2000",X-Men,"$75,000,000","$157,299,717"
"Jul 2, 2025",Jurassic World Rebirth,"$265,000,000",
"Jun 10, 2022",Jurassic World: Dominion,"$185,000,000","$376,851,080"
"Jun 22, 2018",Jurassic World: Fallen Kingdom,"$170,000,000","$417,719,760"
"Jun 12, 2015",Jurassic World,"$215,000,000","$653,406,625"
"Jul 18, 2001",Jurassic Park III,"$93,000,000","$181,166,115"
"May 22, 1997",The Lost World: Jurassic Park,"$75,000,000","$229,086,679"
"Jun 11, 1993",Jurassic Park,"$63,000,000","$415,404,543"
"Dec 22, 2023",Aquaman and the Lost Kingdom,"$205,000,000","$124,481,226"
"Aug 18, 2023",Blue Beetle,"$120,000,000","$72,541,501"
"Jun 16, 2023",The Flash,"$200,000,000","$108,167,507"
"Mar 17, 2023",Shazam! Fury of the Gods,"$125,000,000","$57,721,819"
"Oct 21, 2022",Black Adam,"$200,000,000","$168,283,344"
"Aug 5, 2021",The Suicide Squad,"$185,000,000","$55,817,425"
"Dec 25, 2020",Wonder Woman 1984,"$200,000,000","$46,801,036"
"Feb 7, 2020",Birds of Prey (And the Fant…,"$82,000,000","$84,158,461"
"Apr 5, 2019",Shazam!,"$85,000,000","$140,371,656"
"Dec 21, 2018",Aquaman,"$160,000,000","$335,061,807"
"Nov 17, 2017",Justice League,"$300,000,000","$229,024,295"
"Jun 2, 2017",Wonder Woman,"$150,000,000","$412,563,408"
"Aug 5, 2016",Suicide Squad,"$175,000,000","$325,100,054"
"Jun 14, 2013",Man of Steel,"$225,000,000","$291,045,518"
"Feb 7, 2006",Bambi II,,
"Aug 13, 1942",Bambi,"$858,000","$102,797,000"
2025,Star Trek 4,,
"Jan 24, 2024",Star Trek: Section 31,,
"Jul 22, 2016",Star Trek Beyond,"$185,000,000","$158,848,340"
"May 16, 2013",Star Trek Into Darkness,"$190,000,000","$228,778,661"
"May 8, 2009",Star Trek,"$140,000,000","$257,730,019"
"Dec 13, 2002",Star Trek: Nemesis,"$60,000,000","$43,254,409"
"Dec 11, 1998",Star Trek: Insurrection,"$70,000,000","$70,187,658"
"Nov 22, 1996",Star Trek: First Contact,"$46,000,000","$92,027,888"
"Nov 18, 1994",Star Trek: Generations,"$38,000,000","$75,671,262"
"Dec 6, 1991",Star Trek VI: The Undiscove…,"$27,000,000","$74,888,996"
"Jun 9, 1989",Star Trek V: The Final Fron…,"$30,000,000","$52,210,049"
"Nov 26, 1986",Star Trek IV: The Voyage Home,"$24,000,000","$109,713,132"
"Jun 1, 1984",Star Trek III: The Search f…,"$18,000,000","$76,471,046"
"Jun 4, 1982",Star Trek II: The Wrath of …,"$12,000,000","$78,912,963"
"Dec 7, 1979",Star Trek: The Motion Picture,"$35,000,000","$82,258,456"
2026,Lord of the Rings: The Hunt…,,
"Dec 13, 2024",The Lord of the Rings: The …,"$30,000,000","$9,158,572"
"Dec 31, 2018",Lord Of The Rings Trilogy,,
"Dec 17, 2014",The Hobbit: The Battle of t…,"$250,000,000","$255,119,788"
"Dec 13, 2013",The Hobbit: The Desolation …,"$250,000,000","$258,241,522"
"Dec 14, 2012",The Hobbit: An Unexpected J…,"$200,000,000","$303,003,568"
2026,Fast XI,,
"May 19, 2023",Fast X,"$340,000,000","$146,126,015"
"Jun 25, 2021",F9: The Fast Saga,"$200,000,000","$173,005,945"
"Aug 2, 2019",Fast & Furious Presents: Ho…,"$200,000,000","$173,956,935"
"Apr 14, 2017",The Fate of the Furious,"$250,000,000","$225,764,765"
"Apr 3, 2015",Furious 7,"$190,000,000","$353,007,020"
"May 24, 2013",Fast and Furious 6,"$160,000,000","$238,679,850"
"Apr 29, 2011",Fast Five,"$125,000,000","$210,031,325"
"Apr 3, 2009",Fast & Furious,"$85,000,000","$155,064,265"
"Jun 16, 2006",The Fast and the Furious: T…,"$85,000,000","$62,615,510"
"Jun 6, 2003",2 Fast 2 Furious,"$76,000,000","$127,120,058"
"Jun 22, 2001",The Fast and the Furious,"$38,000,000","$144,512,310"
"Jun 30, 2023",Indiana Jones and the Dial …,"$300,000,000","$174,480,468"
"May 22, 2008",Indiana Jones and the Kingd…,"$185,000,000","$317,101,119"
