franchise,num_of_movies,domestic_gross,adjusted_inflation_domestic_gross,worldwide_gross,first_year,last_year
Marvel Cinematic Universe,43,"$12,450,221,724","$14,768,455,925","$31,068,462,691",2008,2029
Star Wars,15,"$5,102,239,164","$9,533,067,581","$10,324,482,431",1977,2027
James Bond,27,"$2,297,557,630","$7,188,939,438","$7,878,060,107",1963,2021
Batman,28,"$3,216,390,805","$5,110,656,619","$7,022,158,716",1966,2027
Spider-Man,13,"$3,699,796,916","$4,882,977,893","$8,974,837,979",2002,2026
Harry Potter,13,"$2,890,093,501","$4,413,977,386","$9,563,803,985",2001,2022
X-Men,14,"$3,095,211,123","$4,071,052,112","$7,414,049,051",2000,2024
Jurassic Park,7,"$2,273,634,802","$3,601,633,510","$6,026,384,764",1993,2025
DC Extended Universe,26,"$2,781,499,251","$3,279,880,993","$7,168,362,492",2013,2023
Avengers,6,"$2,619,552,260","$3,244,590,887","$7,707,019,725",2012,2027
Bambi,2,"$102,797,000","$3,179,143,103","$302,000,000",1942,2006
Star Trek,16,"$1,400,952,879","$3,070,403,368","$2,266,907,732",1979,2025
Peter Jackson's Lord of the Rings,9,"$1,870,762,868","$3,004,585,433","$5,875,115,309",2001,2026
Fast and the Furious,12,"$2,009,883,998","$2,687,383,888","$7,321,275,845",2001,2026
Indiana Jones,5,"$1,094,319,743","$2,616,230,380","$2,345,302,461",1981,2023
Shrek,9,"$1,605,005,712","$2,496,053,936","$4,030,200,919",2001,2026
Rocky,10,"$948,288,490","$2,451,097,042","$1,935,639,002",1976,2023
Superman,12,"$1,152,698,852","$2,426,693,258","$2,553,272,239",1978,2025
Transformers,9,"$1,798,841,771","$2,421,092,331","$5,413,674,663",1986,2024
Despicable Me,10,"$1,953,046,060","$2,319,876,888","$5,618,658,652",2010,2026
Pirates of the Caribbean,5,"$1,451,777,734","$2,262,594,074","$4,522,062,632",2003,2017
Toy Story,8,"$1,436,427,934","$2,234,593,152","$3,271,432,057",1995,2026
101 Dalmatians,3,"$356,130,853","$2,206,709,379","$524,444,124",1961,2000
Hunger Games,6,"$1,617,889,120","$2,086,190,224","$3,304,575,176",2012,2026
Jaws,4,"$442,864,039","$2,068,332,544","$833,120,382",1975,1987
Mission: Impossible,8,"$1,327,133,487","$2,058,812,848","$4,142,729,708",1996,2025
Twilight,6,"$1,365,922,346","$1,906,157,967","$3,311,259,575",2008,2012
The Lion King,5,"$1,204,222,569","$1,853,095,896","$3,322,180,209",1994,2024
Planet of the Apes,10,"$964,206,474","$1,791,222,268","$2,511,686,885",1968,2024
Avatar,5,"$1,469,297,416","$1,782,985,061","$5,236,119,253",2009,2031
Dark Knight Trilogy,3,"$1,190,108,597","$1,754,019,643","$2,449,084,705",2005,2012
Peter Pan,7,"$355,579,537","$1,736,996,794","$708,714,979",1953,2023
King Kong,7,"$751,179,934","$1,618,864,303","$2,266,919,047",1933,2024
Exorcist,8,"$388,647,215","$1,574,010,285","$660,117,628",1973,2025
Lady and the Tramp,2,"$93,600,000","$1,509,516,846","$93,638,184",1955,2001
Billy Jack,3,"$223,000,000","$1,476,725,476","$223,000,000",1967,1974
Deadpool,3,"$1,324,408,302","$1,473,313,874","$2,906,381,409",2016,2024
Ghostbusters,7,"$726,186,662","$1,453,625,908","$1,144,427,556",1984,2025
Iron Man,3,"$1,040,029,729","$1,447,502,039","$2,420,665,172",2008,2013
Wizard of Oz,6,"$753,096,465","$1,435,743,618","$1,263,330,601",1939,2025
Mary Poppins,2,"$274,230,583","$1,388,744,053","$447,905,601",1964,2018
Sony’s Marvel Universe,11,"$1,281,293,551","$1,369,459,892","$3,210,890,603",2018,2026
Godfather,3,"$260,446,056","$1,353,134,933","$394,181,312",1972,1990
Wolverine,4,"$1,175,462,935","$1,342,998,194","$2,743,556,275",2009,2024
Alien,9,"$681,424,010","$1,337,578,674","$1,983,797,395",1979,2024
Black Panther,2,"$1,153,888,626","$1,292,583,295","$2,188,142,628",2018,2022
Men in Black,5,"$704,184,140","$1,286,184,707","$1,942,133,967",1997,2019
Terminator,6,"$669,177,934","$1,277,423,909","$2,074,432,578",1984,2019
Finding Nemo,2,"$866,824,931","$1,268,633,250","$1,961,100,977",2003,2016
Guardians of the Galaxy,4,"$1,082,523,028","$1,267,706,300","$2,485,134,150",2014,2023
Beverly Hills Cop,4,"$431,012,375","$1,266,895,515","$712,145,974",1984,2024
Home Alone,6,"$490,039,196","$1,253,456,293","$866,366,125",1990,2021
Lethal Weapon,4,"$487,622,466","$1,253,362,668","$952,592,350",1987,1998
Top Gun,3,"$899,203,310","$1,250,369,063","$1,811,789,415",1986,2025
Thor,4,"$1,045,707,883","$1,249,667,145","$2,705,339,993",2011,2022
Bourne,5,"$800,424,270","$1,242,903,977","$1,665,926,127",2002,2016
Ice Age,8,"$793,676,582","$1,229,598,633","$3,206,624,261",2002,2022
Teenage Mutant Ninja Turtles,8,"$702,302,062","$1,215,105,980","$1,329,689,433",1990,2026
Father Chuck O'Malley,2,"$37,600,000","$1,205,146,241","$37,600,000",1944,1945
Cinderella,3,"$85,000,000","$1,177,243,429","$263,591,415",1950,2019
The Incredibles,3,"$870,022,836","$1,173,452,146","$1,874,246,451",2004,2025
Airport,4,"$190,774,302","$1,172,325,884","$190,774,302",1970,1979
Minions,6,"$1,067,599,670","$1,170,055,106","$3,065,924,867",2015,2026
Back to the Future,3,"$422,117,572","$1,168,369,300","$964,921,784",1985,1990
Matrix,4,"$635,592,084","$1,159,353,548","$1,792,322,248",1999,2021
Halloween,14,"$624,157,321","$1,157,856,417","$855,142,465",1978,2022
Jumanji,4,"$849,844,012","$1,148,772,684","$2,078,293,569",1995,2019
Jack Ryan,5,"$495,058,617","$1,133,613,588","$910,977,412",1990,2014
Inside Out,2,"$1,009,441,905","$1,108,811,416","$2,549,172,851",2015,2024
Captain America,4,"$856,485,812","$1,103,441,463","$2,248,961,367",2011,2025
Godzilla,12,"$817,236,609","$1,099,757,432","$2,524,465,829",1954,2024
Jungle Book,3,"$189,744,582","$1,095,364,661","$281,767,202",1967,2013
Frozen,4,"$878,326,587","$1,092,667,710","$2,722,676,616",2013,2027
The Hobbit,3,"$816,364,878","$1,086,681,792","$2,914,620,020",2012,2014
Die Hard,5,"$505,107,524","$1,068,614,512","$1,436,104,549",1988,2013
Pink Panther,11,"$267,433,670","$1,063,760,104","$378,233,747",1964,2009
Mummy,4,"$556,617,441","$1,042,623,274","$1,429,229,279",1999,2008
Dirty Harry,5,"$224,579,600","$1,015,264,011","$224,579,600",1971,1988
Meet the Parents,3,"$593,831,215","$1,012,764,820","$1,157,643,189",2000,2010
Friday the 13th,12,"$382,746,073","$1,003,075,238","$466,199,871",1980,2009
Madagascar,5,"$673,512,794","$998,541,386","$2,270,104,142",2005,2019
National Lampoon,12,"$269,614,312","$995,264,512","$287,557,578",1978,2009
Karate Kid,6,"$430,055,661","$995,026,393","$612,381,804",1984,2025
The Sting,2,"$165,963,399","$993,847,634","$165,963,399",1973,1983
The Conjuring,10,"$824,474,252","$990,276,801","$2,382,405,881",2013,2025
Rush Hour,3,"$507,477,118","$974,189,258","$849,311,714",1998,2007
Austin Powers,3,"$473,041,863","$959,201,209","$676,406,139",1997,2002
Around the World in 80 Days,2,"$66,004,159","$947,189,055","$114,004,159",1956,2004
Alvin and the Chipmunks,5,"$655,935,962","$937,093,359","$1,404,694,725",2007,2015
Madea Cinematic Universe,13,"$663,206,774","$921,750,121","$667,519,495",2005,2022
Kung Fu Panda,5,"$718,095,848","$920,845,705","$2,365,043,158",2008,2024
Ocean's Eleven,5,"$566,311,960","$914,168,827","$1,423,180,781",2001,2025
Muppets,10,"$351,214,453","$909,443,586","$455,528,934",1979,2025
Scream,7,"$521,761,480","$904,965,122","$911,176,246",1996,2026
Smokey and the Bandit,3,"$199,870,054","$901,636,699","$199,870,142",1977,1983
MonsterVerse,5,"$776,950,451","$900,564,627","$2,523,450,227",2014,2024
Hangover,3,"$643,986,880","$893,294,349","$1,414,251,960",2009,2013
Saturday Night Fever,2,"$203,327,598","$892,378,803","$408,441,442",1977,1983
Hannibal Lecter,5,"$425,065,056","$890,044,156","$921,488,140",1986,2007
"Monsters, Inc.",2,"$558,637,754","$888,915,857","$1,303,939,529",2001,2013
