name,domestic_gross,num_movies,avg_gross
Samuel L. Jackson,"$5,849,181,459",68,"$86,017,374"
"Robert Downey, Jr.","$5,474,546,165",45,"$121,656,581"
Chris Pratt,"$5,354,885,824",26,"$205,957,147"
Scarlett Johansson,"$5,337,686,916",34,"$156,990,792"
Tom Hanks,"$5,170,019,560",56,"$92,321,778"
Zoe Saldana,"$5,076,371,324",34,"$149,305,039"
Tom Cruise,"$4,852,235,014",45,"$107,827,445"
Bradley Cooper,"$4,768,207,721",31,"$153,813,152"
Chris Hemsworth,"$4,429,357,453",28,"$158,191,338"
Harrison Ford,"$4,233,333,174",42,"$100,793,647"
Chris Evans,"$4,185,997,243",28,"$149,499,902"
Dwayne Johnson,"$4,157,269,371",38,"$109,401,826"
Vin Diesel,"$3,962,558,107",28,"$141,519,932"
Will Smith,"$3,735,127,227",37,"$100,949,385"
Johnny Depp,"$3,685,235,615",54,"$68,245,104"
Steve Carell,"$3,596,431,723",31,"$116,013,927"
Eddie Murphy,"$3,583,986,039",46,"$77,912,740"
Tom Holland,"$3,495,258,749",18,"$194,181,042"
Matt Damon,"$3,389,443,230",47,"$72,115,813"
Mark Ruffalo,"$3,371,517,885",23,"$146,587,734"
Don Cheadle,"$3,257,133,326",23,"$141,614,492"
Dave Bautista,"$3,204,672,484",30,"$106,822,416"
Jeremy Renner,"$3,185,916,086",19,"$167,679,794"
Hugh Jackman,"$3,160,763,815",37,"$85,426,049"
Jim Carrey,"$3,107,287,550",31,"$100,235,082"
Karen Gillan,"$3,101,979,176",17,"$182,469,363"
Emma Watson,"$3,050,318,220",16,"$190,644,889"
Josh Brolin,"$3,036,329,630",26,"$116,781,909"
Benedict Cumberbatch,"$3,003,820,990",21,"$143,039,095"
Bruce Willis,"$2,921,714,487",88,"$33,201,301"
Ryan Reynolds,"$2,901,400,139",43,"$67,474,422"
Letitia Wright,"$2,899,703,337",12,"$241,641,945"
Will Ferrell,"$2,888,703,389",41,"$70,456,180"
Nicolas Cage,"$2,878,299,542",96,"$29,982,287"
Elizabeth Olsen,"$2,869,508,711",20,"$143,475,436"
Adam Sandler,"$2,868,254,500",44,"$65,187,602"
Chadwick Boseman,"$2,840,667,425",11,"$258,242,493"
Ben Stiller,"$2,797,049,842",36,"$77,695,829"
Jack Black,"$2,782,668,846",31,"$89,763,511"
Denzel Washington,"$2,727,422,925",49,"$55,661,692"
Mark Wahlberg,"$2,720,976,292",48,"$56,687,006"
Leonardo DiCaprio,"$2,715,965,494",27,"$100,591,315"
Danai Gurira,"$2,691,077,108",5,"$538,215,422"
Jennifer Lawrence,"$2,645,260,774",26,"$101,740,799"
Robert De Niro,"$2,635,592,840",78,"$33,789,652"
Daniel Radcliffe,"$2,634,638,128",25,"$105,385,525"
Brad Pitt,"$2,626,979,597",46,"$57,108,252"
Sandra Bullock,"$2,616,948,145",34,"$76,969,063"
Robin Williams,"$2,613,768,840",39,"$67,019,714"
Liam Neeson,"$2,613,249,768",60,"$43,554,163"
Christian Bale,"$2,556,703,465",39,"$65,556,499"
Lupita Nyong'o,"$2,513,789,663",11,"$228,526,333"
Gwyneth Paltrow,"$2,480,583,070",20,"$124,029,154"
Keanu Reeves,"$2,477,615,429",51,"$48,580,695"
Ian McKellen,"$2,471,499,901",20,"$123,574,995"
Julia Roberts,"$2,467,816,166",38,"$64,942,531"
Cameron Diaz,"$2,467,531,942",31,"$79,597,805"
Natalie Portman,"$2,451,277,841",34,"$72,096,407"
Ben Affleck,"$2,441,195,906",45,"$54,248,798"
Ewan McGregor,"$2,431,355,412",39,"$62,342,446"
Kevin Hart,"$2,430,421,640",34,"$71,482,989"
Sebastian Stan,"$2,426,594,870",17,"$142,740,875"
Tom Hiddleston,"$2,394,719,717",16,"$149,669,982"
Rupert Grint,"$2,394,400,832",14,"$171,028,631"
Owen Wilson,"$2,370,031,852",37,"$64,054,915"
Paul Bettany,"$2,362,585,040",16,"$147,661,565"
Mel Gibson,"$2,346,209,272",55,"$42,658,350"
Paul Rudd,"$2,333,430,812",33,"$70,710,025"
Adam Driver,"$2,322,724,539",21,"$110,605,930"
Idris Elba,"$2,298,672,733",32,"$71,833,523"
Pom Klementieff,"$2,289,018,531",5,"$457,803,706"
John Travolta,"$2,286,574,463",57,"$40,115,341"
Mark Hamill,"$2,274,275,517",14,"$162,448,251"
Morgan Freeman,"$2,266,023,898",50,"$45,320,478"
George Clooney,"$2,246,231,720",36,"$62,395,326"
Tim Allen,"$2,195,729,389",20,"$109,786,469"
Daisy Ridley,"$2,190,894,310",15,"$146,059,621"
Benedict Wong,"$2,185,545,418",6,"$364,257,570"
Sylvester Stallone,"$2,163,136,709",55,"$39,329,758"
John Boyega,"$2,152,544,397",15,"$143,502,960"
Channing Tatum,"$2,091,510,759",33,"$63,379,114"
Mike Myers,"$2,090,509,476",16,"$130,656,842"
Martin Freeman,"$2,070,721,545",15,"$138,048,103"
Meryl Streep,"$2,051,918,019",50,"$41,038,360"
Michael Douglas,"$2,009,484,851",37,"$54,310,401"
Seth Rogen,"$2,001,612,934",27,"$74,133,812"
Bill Murray,"$1,986,281,844",38,"$52,270,575"
Shia LaBeouf,"$1,931,386,660",29,"$66,599,540"
Sam Worthington,"$1,906,603,776",25,"$76,264,151"
