title,release_year,adjusted_domestic_gross
Titanic,1997,1321185221.7271028
Aladdin,2019,437183486.5482988
Oppenheimer,2023,340363579.17952085
Doctor Strange in the Multiverse of M…,2022,441826639.01879054
The Jungle Book,2016,476841471.12999994
The Hobbit: The Battle of the Five Ar…,2014,338866334.3776933
Chang jin hu,2021,386577.4228782287
Bohemian Rhapsody,2018,270831420.87455195
Wolf Warrior 2 (战狼2),2017,3490468.5434516524
Inception,2010,421760457.1664374
E.T. the Extra-Terrestrial,1982,1431758015.9751294
Coco,2017,269965845.43451655
Indiana Jones and the Kingdom of the …,2008,463058949.4361356
2012,2009,243476295.1272727
Up,2009,429466243.1776223
Gravity,2013,369848697.21888405
Forrest Gump,1994,700401604.5020243
The Sixth Sense,1999,553891825.9591836
The Wandering Earth (流浪地球),2019,7224298.446617129
The Martian,2015,303036049.1443038
Fantastic Beasts: The Crimes of Grind…,2018,199778475.80406213
Big Hero 6,2014,295575619.44740176
Interstellar,2014,269937122.97084916
Ratatouille,2007,313104262.5065123
The Passion of the Christ,2004,617120980.3705664
Life of Pi,2012,171149476.11846688
War of the Worlds,2005,377151783.39784944
Tangled,2010,289492969.6396148
Ready Player One,2018,172400597.67741936
The Wandering Earth 2 (流浪地球2),2023,5183041.3547751885
The Day After Tomorrow,2004,310806284.8364214
Brave,2012,324919503.57491285
Armageddon,1998,388810922.8269939
American Sniper,2014,465060124.02534854
Detective Chinatown 2 (唐人街探案),2018,2484128.1146953404
Hong Hai Xing Dong,2018,1932660.9988052568
Cinderella,2015,266843820.18227848
The Revenant,2015,243610775.83797467
WALL-E,2008,326824369.5383186
World War Z,2013,273523561.96738195
Mei Ren Yu,2016,4230588.669999999
Ghost,1990,523514021.4720735
Dr. Seuss’ The Grinch,2018,341772326.35603344
Dunkirk,2017,243808515.8384333
La La Land,2016,197943361.92999998
Aladdin,1992,487062785.84176755
Xiāo Shī De Tā (消失的她),2023,846104.3649491303
Mr. and Mrs. Smith,2005,299969923.797235
Saving Private Ryan,1998,417274544.3190184
Elemental,2023,159342807.80045947
Les Intouchables,2012,18050998.024390243
Troy,2004,221858510.36950767
YOLO (热辣滚烫),2024,2001584.0
Lucy,2014,168123586.9201521
The Last Samurai,2003,189854156.41304347
San Andreas,2015,205873407.51392403
Wo Bi Shi Yao Shen,2018,8454.117084826763
Django Unchained,2012,222935663.97909406
Pearl Harbor,2001,352461493.0095991
Tarzan,1999,322876758.0648259
Mrs. Doubtfire,1993,476919889.5114187
Warcraft,2016,62048529.89999999
Les Misérables,2012,204387578.46689892
Zhongguo jizhang,2019,868776.8353539304
Pretty Woman,1990,429157847.43075746
Shang-Chi and the Legend of the Ten R…,2021,260503361.64132836
A Star is Born,2018,269561208.56391877
The King’s Speech,2010,200082154.8170564
The Greatest Showman,2017,223633417.8115055
Rampage,2018,126496521.12783751
Cast Away,2000,426561820.2369338
Dances with Wolves,1990,443115990.24330527
Rain Man,1988,459309524.6322907
The Bodyguard,1992,273406408.0969351
Signs,2002,398407706.2145636
Fantastic Beasts: The Secrets of Dumb…,2022,102956970.80150324
Night at the Museum: Battle of the Sm…,2009,259792195.255944
Alita: Battle Angel,2019,105543735.72154869
Uncharted,2022,159669248.40450972
Ji Su Shi Ke (这个杀手不太冷静),2022,199662.7974034848
Robin Hood: Prince of Thieves,1991,382021179.7004406
The Wolf of Wall Street,2013,157806107.87639484
Home,2015,235332393.0126582
Spirited Away (千と千尋の神隠し),2001,17841243.13043478
Slumdog Millionaire,2008,206383525.42127264
1917,2019,195780881.00743058
Monsters vs. Aliens,2009,290730628.3188811
Once Upon a Time…in Hollywood,2019,175216494.65467343
What Women Want,2000,333762663.5958188
Shark Tale,2004,268649723.6633139
There's Something About Mary,1998,340409658.12515336
Creation of the Gods I: Kindom of Sto…,2023,1760676.1142106992
The Golden Compass,2007,106328363.16063675
Gone Girl,2014,222839054.59062102
Hitch,2005,286202613.4193548
True Lies,1994,310331916.4534413
Notting Hill,1999,219079200.25930372
A Bug’s Life,1998,314011465.25153375
Zhuo yao ji 2,2018,884167.6750298686
Tenet,2020,71072993.0911901
Minority Report,2002,230731351.2040022
Your Name,2016,6550237.109999999
American Beauty,1999,245439675.73109242
Dinosaur,2000,251498205.61672476
Catch Me if You Can,2002,287673029.01612
The Great Gatsby,2013,195441320.74506435
Noah,2014,134420337.27756652
Who Framed Roger Rabbit?,1988,409577070.8774302
Dr. Seuss’ The Lorax,2012,293245850.69686407
It Ends With Us,2024,148518266.0
Deep Impact,1998,270933069.7030675
The Legend of Tarzan,2016,165902409.90999997
"I, Robot",2004,241002867.29062995
How the Grinch Stole Christmas,2000,479132509.1289199
Pocahontas,1995,292077956.8976378
Over the Hedge,2006,241756351.66666666
Wanted,2008,196421218.92429167
Zhuo yao ji,2015,43466.79493670886
Close Encounters of the Third Kind,1977,877313376.1980196
Enchanted,2007,193685683.20694643
Prince of Persia: Sands of Time,2010,130833755.7744154
The Rock,1996,268651716.1147227
Apollo 13,1995,358491850.03149605
A Quiet Place,2018,235423572.67383513
The Great Wall,2016,59155807.54999999
The Good Dinosaur,2015,163285192.10126582
Black Swan,2010,154179508.3136176
The Curious Case of Benjamin Button,2008,186200334.85555038
Se7en,1995,208172733.33858266
The Perfect Storm,2000,333421809.81184673
Bolt,2008,166551069.38039944
The Devil Wears Prada,2006,194535717.3809524
The Wild Robot,2024,143264035.0
Free Guy,2021,141104805.94538742
Robin Hood,2010,152064004.2696011
Schindler’s List,1993,210830369.40622836
Fatal Attraction,1987,433533502.4577465
Green Book,2018,106528099.41218638
The Last Airbender,2010,189954954.5749656
A Beautiful Mind,2001,303054253.76849234
Inglourious Basterds,2009,177023460.85594404
Disney’s A Christmas Carol,2009,202060062.1314685
Suzume (すずめの戸締まり),2022,11742509.165698666
Air Force One,1997,338800591.835514
The Proposal,2009,240318904.17902094
As Good as it Gets,1997,290850384.164486
Battleship,2012,89326572.12543553
The Polar Express,2004,312973391.2758073
Runaway Bride,1999,287333498.37695074
Chicken Little,2005,217949654.2549923
Ransom,1996,273507322.5391969
Qian Ren 3: Yan Zhi Da Zuo Zhan,2017,1074669.4834761322
Ferdinand,2017,108276717.55201958
The Pursuit of Happyness,2006,253556794.23809525
The Fault in Our Stars,2014,165863400.2534854
Rise of the Guardians,2012,141607017.05226478
Chicago,2002,298299920.2846025
The Blind Side,2009,375168573.1468531
Dangal,2016,16233206.909999998
