name,domestic_gross,num_movies,avg_gross
Warwick Davis,"$5,632,608,991",18,"$312,922,722"
John Ratzenberger,"$5,628,072,298",38,"$148,107,166"
Frank Welker,"$5,607,440,450",53,"$105,800,763"
J.K. Simmons,"$4,630,754,945",56,"$82,692,053"
Jon Favreau,"$4,570,404,523",24,"$190,433,522"
Bob Bergen,"$4,463,894,513",29,"$153,927,397"
Samuel L. Jackson,"$4,443,848,439",53,"$83,846,197"
Alan Tudyk,"$4,250,716,736",31,"$137,119,895"
Gary Oldman,"$4,013,260,113",25,"$160,530,405"
Andy Serkis,"$3,943,709,919",18,"$219,094,996"
Hugo Weaving,"$3,916,805,179",22,"$178,036,599"
Jess Harnell,"$3,771,355,330",20,"$188,567,767"
Willem Dafoe,"$3,730,232,083",36,"$103,617,558"
Jack Angel,"$3,714,277,087",21,"$176,870,337"
Stanley Tucci,"$3,672,255,602",48,"$76,505,325"
Mickie McGowan,"$3,666,292,101",22,"$166,649,641"
Bill Hader,"$3,602,069,913",27,"$133,409,997"
Frank Oz,"$3,575,074,547",16,"$223,442,159"
Elizabeth Banks,"$3,488,958,670",29,"$120,308,920"
Anthony Daniels,"$3,477,332,455",9,"$386,370,273"
Stellan Skarsgård,"$3,460,030,659",28,"$123,572,524"
Marisa Tomei,"$3,391,722,453",24,"$141,321,769"
Alfred Molina,"$3,333,833,125",36,"$92,606,476"
Bill Farmer,"$3,330,615,182",22,"$151,391,599"
Danny Mann,"$3,301,703,573",17,"$194,217,857"
Sherry Lynn,"$3,259,655,934",20,"$162,982,797"
Kenny Baker,"$3,258,983,129",11,"$296,271,194"
Laraine Newman,"$3,175,211,148",20,"$158,760,557"
Jacob Batalon,"$3,162,070,786",10,"$316,207,079"
Toby Jones,"$3,070,474,452",43,"$71,406,383"
Bonnie Hunt,"$3,044,143,258",18,"$169,119,070"
William Hurt,"$3,042,850,146",35,"$86,938,576"
Peter Mayhew,"$3,022,316,154",7,"$431,759,451"
James Earl Jones,"$2,956,056,904",39,"$75,796,331"
Judy Greer,"$2,903,956,700",45,"$64,532,371"
Allison Janney,"$2,838,256,260",40,"$70,956,407"
Tara Strong,"$2,790,927,072",18,"$155,051,504"
Idris Elba,"$2,772,060,708",16,"$173,253,794"
Robbie Coltrane,"$2,765,271,188",21,"$131,679,580"
Timothy Spall,"$2,749,580,621",29,"$94,813,125"
Martin Klebba,"$2,728,533,710",33,"$82,682,840"
Tom Felton,"$2,723,351,774",21,"$129,683,418"
Stephen Root,"$2,708,452,618",56,"$48,365,225"
Lori Alan,"$2,700,422,780",10,"$270,042,278"
Domhnall Gleeson,"$2,699,240,681",18,"$149,957,816"
Djimon Hounsou,"$2,690,413,208",27,"$99,644,934"
John Turturro,"$2,689,486,527",35,"$76,842,472"
Michael Gambon,"$2,678,190,181",23,"$116,443,051"
Alan Rickman,"$2,667,620,863",16,"$166,726,304"
Cate Blanchett,"$2,615,675,035",16,"$163,479,690"
Christopher Lee,"$2,611,731,013",21,"$124,368,143"
Giovanni Ribisi,"$2,604,156,443",27,"$96,450,239"
Jeff Goldblum,"$2,587,242,934",20,"$129,362,147"
Jim Cummings,"$2,585,928,214",21,"$123,139,439"
Jeffrey Wright,"$2,567,224,532",29,"$88,524,984"
Phil Proctor,"$2,564,419,983",21,"$122,115,237"
Paul Giamatti,"$2,557,874,310",42,"$60,901,769"
Ciaran Hinds,"$2,555,053,282",35,"$73,001,522"
Maggie Smith,"$2,527,872,092",21,"$120,374,862"
Carlos Alazraqui,"$2,519,228,467",16,"$157,451,779"
Jason Isaacs,"$2,516,822,127",33,"$76,267,337"
Winston Duke,"$2,505,232,983",6,"$417,538,831"
Brad Garrett,"$2,501,832,074",23,"$108,775,308"
James Cromwell,"$2,476,120,158",33,"$75,033,944"
Sigourney Weaver,"$2,464,221,395",20,"$123,211,070"
Helena Bonham Carter,"$2,460,558,455",16,"$153,784,903"
Paul Bettany,"$2,458,174,093",16,"$153,635,881"
Matthew Lewis,"$2,448,566,677",10,"$244,856,668"
Julie Walters,"$2,445,621,173",21,"$116,458,151"
Wallace Shawn,"$2,445,353,984",34,"$71,922,176"
Steve Coogan,"$2,441,244,228",20,"$122,062,211"
Geraldine Somerville,"$2,428,793,398",10,"$242,879,340"
Josh Herdman,"$2,423,146,230",9,"$269,238,470"
Temuera Morrison,"$2,414,575,359",17,"$142,033,845"
Michael Caine,"$2,410,734,347",20,"$120,536,717"
Devon Murray,"$2,405,360,262",9,"$267,262,251"
Mark Williams,"$2,403,993,541",13,"$184,922,580"
Steve Buscemi,"$2,402,634,196",40,"$60,065,855"
James Phelps,"$2,402,449,227",9,"$266,938,803"
Oliver Phelps,"$2,402,449,227",9,"$266,938,803"
Shea Whigham,"$2,398,519,852",34,"$70,544,702"
Ed Harris,"$2,397,675,189",33,"$72,656,824"
Bonnie Wright,"$2,392,321,602",9,"$265,813,511"
Chris Miller,"$2,379,790,261",12,"$198,315,855"
Simon Pegg,"$2,378,208,693",13,"$182,939,130"
Morgan Freeman,"$2,377,666,243",21,"$113,222,202"
Benedict Cumberbatch,"$2,372,360,790",17,"$139,550,635"
Donald Sutherland,"$2,363,646,515",27,"$87,542,464"
Clint Howard,"$2,358,864,932",39,"$60,483,716"
Brendan Gleeson,"$2,357,682,710",33,"$71,444,931"
John Cleese,"$2,349,655,926",21,"$111,888,377"
Julie Andrews,"$2,349,033,000",10,"$234,903,300"
Greg Grunberg,"$2,331,446,444",12,"$194,287,204"
David Cross,"$2,330,128,225",27,"$86,301,045"
John Slattery,"$2,329,476,892",16,"$145,592,306"
