imdb_id,title,release_year,budget,production_companies,production_countries,spoken_languages
tt1375666,Inception,2010,160000000,"Legendary Pictures, Syncopy, Warner Bros. Pictures","United Kingdom, United States of America","English, French, Japanese, Swahili"
tt0816692,Interstellar,2014,165000000,"Legendary Pictures, Syncopy, Lynda Obst Productions","United Kingdom, United States of America",English
tt0468569,The Dark Knight,2008,185000000,"DC Comics, Legendary Pictures, Syncopy, Isobel Griffiths, Warner Bros. Pictures","United Kingdom, United States of America","English, Mandarin"
tt0499549,Avatar,2009,237000000,"Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media","United States of America, United Kingdom","English, Spanish"
tt0848228,The Avengers,2012,220000000,Marvel Studios,United States of America,"English, Hindi, Russian"
tt1431045,Deadpool,2016,58000000,"20th Century Fox, The Donners' Company, Genre Films",United States of America,English
tt4154756,Avengers: Infinity War,2018,300000000,Marvel Studios,United States of America,"English, Xhosa"
tt0137523,Fight Club,1999,63000000,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Atman Entertainment, Knickerbocker Films, The Linson Company, 20th Century Fox",United States of America,English
tt2015381,Guardians of the Galaxy,2014,170000000,Marvel Studios,United States of America,English
tt0110912,Pulp Fiction,1994,8500000,"Miramax, A Band Apart, Jersey Films",United States of America,"English, Spanish, French"
tt0109830,Forrest Gump,1994,55000000,"Paramount, The Steve Tisch Company, Wendy Finerman Productions",United States of America,English
tt0241527,Harry Potter and the Philosopher's Stone,2001,125000000,"Warner Bros. Pictures, Heyday Films, 1492 Pictures","United Kingdom, United States of America",English
tt0371746,Iron Man,2008,140000000,Marvel Studios,United States of America,"English, Persian, Urdu, Arabic"
tt1853728,Django Unchained,2012,100000000,"The Weinstein Company, Columbia Pictures",United States of America,"English, French, German"
tt0111161,The Shawshank Redemption,1994,25000000,Castle Rock Entertainment,United States of America,English
tt4154796,Avengers: Endgame,2019,356000000,Marvel Studios,United States of America,"English, Japanese, Xhosa"
tt0133093,The Matrix,1999,63000000,"Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures",United States of America,English
