,tconst,title,release_year,adjusted_domestic_gross,director_gender,has_oscar_cast,propensity_score,adjusted_budget,star_power,num_production_countries,num_spoken_languages,num_production_companies,genre_stereotypes
0,tt0083590,the atomic cafe,1982,0.1,1,0,0.04707331376903833,1.0,0.0,1,1,1,1
1,tt0083929,fast times at ridgemont high,1982,88.3,1,0,0.09712255134522439,14.7,589.7,1,1,2,0
2,tt0086619,yentl,1983,123.1,1,1,0.08552441034447096,37.9,228.8,2,1,3,0
3,tt0086429,testament,1983,4.9,1,0,0.044143371974061076,4.7,241.3,1,1,3,1
4,tt0086525,valley girl,1983,53.0,1,0,0.09566310044585351,1.1,201.8,1,1,2,0
5,tt0087751,mrs soffel,1984,12.1,1,1,0.08847052071950078,33.3,229.5,1,1,1,0
6,tt0087507,johnny dangerously,1984,51.8,1,1,0.08729585790355822,27.2,303.6,1,1,2,0
7,tt0089886,real genius,1985,37.8,1,0,0.04301205760414128,23.4,168.0,1,1,2,1
8,tt0089017,desperately seeking susan,1985,80.1,1,0,0.09817648090804251,14.6,369.7,1,1,1,0
9,tt0089393,just one of the guys,1985,33.2,1,0,0.08226037977587489,33.6,134.8,1,1,3,0
10,tt0091306,jumpin jack flash,1986,73.4,1,0,0.039019552601959745,51.6,412.3,1,1,3,1
11,tt0093605,near dark,1987,9.3,1,0,0.043499547786252604,13.8,334.6,1,1,3,1
12,tt0093278,ishtar,1987,39.8,1,1,0.029682735605075384,152.2,338.2,1,1,1,1
13,tt0095875,plain clothes,1988,0.8,1,0,0.09242015661063117,19.9,355.0,1,1,2,0
14,tt0094737,big,1988,305.5,1,0,0.041037071413708125,47.8,661.7,1,1,3,1
15,tt0098309,shedevil,1989,38.9,1,1,0.08451284544005658,50.7,278.3,1,1,1,0
16,tt0099832,impulse,1990,6.1,1,0,0.04555538642070712,21.6,213.8,1,1,1,1
17,tt0099077,awakenings,1990,124.2,1,1,0.08077945326142888,74.6,467.7,1,1,1,0
18,tt0102631,paradise,1991,43.0,1,0,0.06959268852670084,78.5,230.3,1,1,4,0
19,tt0102713,the prince of tides,1991,172.6,1,1,0.08156422209441391,69.3,423.2,1,1,1,0
20,tt0102685,point break,1991,99.8,1,0,0.04299236863628861,55.4,381.2,2,1,2,1
21,tt0102729,pure luck,1991,52.3,1,0,0.08420661488660226,39.3,413.0,1,1,3,0
22,tt0102753,rambling rose,1991,14.5,1,1,0.09089136243920895,17.3,374.7,1,1,2,0
23,tt0102316,little man tate,1991,57.7,1,1,0.09621490135729133,23.1,429.1,1,3,1,0
24,tt0101746,the doctor,1991,86.6,1,1,0.09375617345970745,27.7,512.3,1,1,1,0
25,tt0101917,freddys dead the final nightmare,1991,80.5,1,0,0.04603883120147072,25.4,362.1,1,1,1,1
26,tt0107756,orlando,1992,12.9,1,0,0.05316410028108157,9.0,89.6,5,4,5,1
27,tt0104694,a league of their own,1992,241.0,1,1,0.07595268900965679,89.6,654.5,1,1,2,0
28,tt0104377,guncrazy,1992,0.3,1,0,0.09522185962830104,1.8,184.4,1,1,2,0
29,tt0108160,sleepless in seattle,1993,275.6,1,0,0.09098358973190217,45.7,491.4,1,1,1,0
30,tt0106500,cb,1993,38.4,1,0,0.09875722153734923,13.1,379.4,1,1,1,0
31,tt0107009,ghost in the machine,1993,10.3,1,0,0.044902556006472416,26.1,212.9,1,1,1,1
32,tt0110538,mixed nuts,1994,14.2,1,0,0.09325948206063303,31.8,372.3,1,1,1,0
33,tt0110367,little women,1994,106.1,1,0,0.09307524552584652,38.2,325.5,1,3,1,0
34,tt0110971,renaissance man,1994,51.3,1,0,0.08014361544081303,84.9,282.5,2,1,2,0
35,tt0114095,party girl,1995,1.0,1,0,0.09977539838949169,0.3,184.2,1,1,1,0
36,tt0114113,the perez family,1995,5.8,1,1,0.09370423580604473,22.7,404.4,1,1,1,0
37,tt0114011,now and then,1995,55.8,1,0,0.09539682008842922,24.8,383.1,1,1,1,0
38,tt0114663,three wishes,1995,14.5,1,0,0.04498451235187197,20.6,403.1,1,1,2,1
39,tt0114614,tank girl,1995,8.4,1,0,0.0399522521877358,51.6,273.4,1,1,2,1
40,tt0114558,strange days,1995,16.3,1,0,0.035057992256238936,86.6,445.4,1,1,3,1
41,tt0112697,clueless,1995,116.8,1,0,0.09605951091910774,24.8,347.8,1,2,1,0
42,tt0112508,billy madison,1995,52.5,1,0,0.09522533803617436,20.6,409.6,1,3,2,0
43,tt0113347,how to make an american quilt,1995,48.7,1,1,0.08850162244606449,20.6,260.3,1,1,2,0
44,tt0113101,four rooms,1995,8.9,1,0,0.0940957573318044,8.3,237.5,1,1,2,0
45,tt0117057,the mirror has two faces,1996,82.7,1,1,0.0751932643930041,84.2,474.1,1,1,2,0
46,tt0117372,the preachers wife,1996,96.4,1,1,0.03427781211201883,80.2,481.4,1,3,4,1
47,tt0116493,harriet the spy,1996,53.2,1,0,0.08577514377224336,24.0,220.7,1,1,3,0
48,tt0115736,bound,1996,7.6,1,0,0.044948149983034515,9.0,365.9,1,2,3,1
49,tt0116442,grace of my heart,1996,1.2,1,0,0.08906275100036337,10.0,187.1,1,1,3,0
50,tt0119874,the peacemaker,1997,80.8,1,0,0.03820181709273827,97.9,320.0,1,5,1,1
51,tt0120323,a thousand acres,1997,15.5,1,1,0.0642134199475189,54.8,264.6,1,1,7,0
52,tt0119951,private parts,1997,80.7,1,0,0.08033054080489802,54.8,121.7,1,1,2,0
53,tt0118787,buddy,1997,19.7,1,0,0.037892233376928694,49.0,460.2,1,1,4,1
54,tt0118702,best men,1997,0.0,1,0,0.0447202990027491,2.0,270.1,1,1,3,1
55,tt0119080,eves bayou,1997,29.1,1,0,0.09217825318433481,11.8,294.7,1,3,3,0
56,tt0120831,slums of beverly hills,1998,10.6,1,1,0.09228090155611543,9.6,318.9,1,1,2,0
57,tt0120794,the prince of egypt,1998,195.6,1,0,0.0324772159607182,135.0,581.9,1,2,2,1
58,tt0120783,the parent trap,1998,127.9,1,0,0.048293717344990814,28.9,499.3,1,4,1,1
59,tt0155753,ill be home for christmas,1998,23.6,1,0,0.09025201870327935,57.9,825.4,2,1,3,0
60,tt0128853,youve got mail,1998,223.4,1,1,0.0695761685022829,125.4,515.4,1,1,1,0
61,tt0127723,cant hardly wait,1998,48.9,1,0,0.09531659902679386,19.3,262.8,1,1,1,0
62,tt0123987,madeline,1998,57.6,1,1,0.08354401039907956,38.6,366.8,1,3,3,0
63,tt0120531,woo,1998,15.6,1,0,0.08752105477828191,25.1,381.6,1,1,3,0
64,tt0120647,deep impact,1998,270.9,1,1,0.02787974662067183,144.7,656.7,1,1,4,1
65,tt0141098,forces of nature,1999,99.9,1,0,0.06471782510522195,141.5,469.2,1,1,2,0
66,tt0171804,boys dont cry,1999,21.8,1,0,0.08311901797411325,3.8,170.8,1,1,5,0
67,tt0160338,guinevere,1999,1.3,1,0,0.09175969873351848,4.9,286.1,1,1,3,0
68,tt0129332,ravenous,1999,3.9,1,0,0.04587300998148961,22.6,311.0,4,2,6,1
