,tconst,title,release_year,adjusted_budget,adjusted_domestic_gross,director_gender,has_oscar_cast,star_power,num_production_countries,num_spoken_languages,num_production_companies,genre_stereotypes
0,tt0065134,two mules for sister sara,1970,20.3,40.9,0,0,64.1,2,5,4,1
1,tt0067454,multiple maniacs,1970,0.0,0.3,0,0,16.8,1,1,1,1
2,tt0066580,woodstock,1970,4.9,279.6,0,0,0.0,1,1,2,1
3,tt0066473,tora tora tora,1970,206.5,239.4,0,1,123.7,2,2,1,1
4,tt0066206,patton,1970,97.2,506.4,0,1,55.8,1,6,1,1
5,tt0066115,myra breckinridge,1970,40.5,24.3,0,0,176.3,1,1,1,0
6,tt0066090,the molly maguires,1970,89.1,17.8,0,0,297.6,1,1,1,1
7,tt0066011,love story,1970,17.8,862.1,0,1,265.5,1,1,2,0
8,tt0066026,mash,1970,28.4,661.2,0,0,276.6,1,3,3,1
9,tt0065938,kellys heroes,1970,32.4,42.1,0,0,346.2,1,3,3,1
10,tt0065916,joe,1970,0.9,156.5,0,0,101.3,1,2,1,1
11,tt0065528,catch,1970,145.9,201.9,0,1,222.4,1,2,2,1
12,tt0065466,beyond the valley of the dolls,1970,16.9,72.9,0,0,43.5,1,1,1,0
13,tt0065446,the ballad of cable hogue,1970,30.1,28.4,0,0,211.7,1,1,1,0
14,tt0065421,the aristocats,1970,32.4,478.1,0,0,325.2,1,1,1,1
15,tt0065988,little big man,1970,121.5,255.7,0,1,180.1,1,1,2,1
16,tt0067309,klute,1971,19.4,97.1,0,0,158.8,1,1,2,1
17,tt0067992,willy wonka the chocolate factory,1971,23.3,31.1,0,1,106.3,1,4,1,1
18,tt0067588,play misty for me,1971,5.6,82.3,0,0,93.8,1,1,2,1
19,tt0067093,fiddler on the roof,1971,69.9,624.9,0,0,106.4,1,3,3,0
20,tt0067065,escape from the planet of the apes,1971,19.4,95.5,0,1,478.9,1,1,2,1
21,tt0066921,a clockwork orange,1971,17.1,206.4,0,0,192.6,2,1,2,1
22,tt0066830,the big doll house,1971,1.0,77.6,0,0,30.2,2,1,1,1
23,tt0066817,bedknobs and broomsticks,1971,155.3,138.7,0,0,193.6,1,1,1,1
24,tt0066769,the andromeda strain,1971,50.5,96.1,0,0,116.2,1,1,1,1
25,tt0069495,whats up doc,1972,30.1,429.8,0,1,336.3,1,1,2,0
26,tt0068833,the last house on the left,1972,0.7,23.3,0,0,0.0,1,1,3,1
27,tt0068611,frenzy,1972,26.3,94.8,0,0,28.2,1,3,2,1
28,tt0068638,the getaway,1972,25.2,276.3,0,1,168.4,1,2,3,1
29,tt0068408,conquest of the planet of the apes,1972,12.8,73.0,0,0,218.4,1,1,2,1
30,tt0068327,cabaret,1972,45.1,310.8,0,0,101.5,1,4,2,0
31,tt0068473,deliverance,1972,15.0,346.9,0,0,209.5,1,1,2,1
32,tt0070666,serpico,1973,21.2,193.1,0,0,180.5,2,3,4,0
33,tt0070917,the wicker man,1973,5.7,1.5,0,0,109.5,1,1,2,1
34,tt0070909,westworld,1973,8.5,21.2,0,1,310.8,1,1,1,1
35,tt0070903,the way we were,1973,35.4,353.5,0,1,394.4,1,2,3,0
